,(1+p),(1-p),(b*b),(b*c),(b+c),(b-c),(b-rounds),(c*c),(c-b),(c-rounds),(rounds*b),(rounds*c),(rounds*rounds),(rounds+b),(rounds+c),(rounds-b),(rounds-c),b,c,expected_post,p,post-init,rounds
209,1.3,0.7,324,360,38,-2,17,400,2,19,18,20,1,19,21,-17,-19,18,20,4.4,0.3,3.4000000000000004,1
210,1.31,0.69,100,130,23,-3,-1,169,3,2,110,143,121,21,24,1,-2,10,13,14.338,0.31,3.337999999999999,11
211,1.31,0.69,16,56,18,-10,-2,196,10,8,24,84,36,10,20,2,-8,4,14,9.254,0.31,3.2539999999999996,6
212,1.63,0.37,4,12,8,-4,-15,36,4,-11,34,102,289,19,23,15,11,2,6,18.666,0.63,1.6660000000000004,17
213,1.85,0.15,81,108,21,-3,2,144,3,5,63,84,49,16,19,-2,-5,9,12,8.178,0.85,1.1780000000000008,7
214,1.58,0.42,1,2,3,-1,-5,4,1,-4,6,12,36,7,8,5,4,1,2,7.786,0.58,1.7859999999999996,6
215,1.19,0.81,121,143,24,-2,-1,169,2,1,132,156,144,23,25,1,-1,11,13,17.564,0.19,5.564,12
216,1.95,0.05,169,52,17,9,12,16,-9,3,13,4,1,14,5,-12,-3,13,4,2.056,0.95,1.056,1
217,1.42,0.58,196,154,25,3,-6,121,-3,-9,280,220,400,34,31,6,9,14,11,22.442,0.42,2.442,20
218,1.6,0.4,361,38,21,17,2,4,-17,-15,323,34,289,36,19,-2,15,19,2,18.558,0.6,1.5579999999999998,17
219,1.67,0.33,81,117,22,-4,4,169,4,8,45,65,25,14,18,-4,-8,9,13,6.496,0.67,1.4960000000000004,5
220,1.06,0.94,196,238,31,-3,-1,289,3,2,210,255,225,29,32,1,-2,14,17,31.548,0.06,16.548,15
221,1.15,0.85,169,208,29,-3,8,256,3,11,65,80,25,18,21,-8,-11,13,16,11.744,0.15,6.744,5
222,1.87,0.13,169,208,29,-3,2,256,3,5,143,176,121,24,27,-2,-5,13,16,12.178,0.87,1.1780000000000008,11
223,1.31,0.69,400,60,23,17,18,9,-17,1,40,6,4,22,5,-18,-1,20,3,5.038,0.31,3.0380000000000003,2
224,1.7,0.3,1,0,1,1,-19,0,-1,-20,20,0,400,21,20,19,20,1,0,21.436,0.7,1.436,20
225,1.64,0.36,289,68,21,13,2,16,-13,-11,255,60,225,32,19,-2,11,17,4,16.55,0.64,1.5500000000000007,15
226,1.95,0.05,16,40,14,-6,1,100,6,7,12,30,9,7,13,-1,-7,4,10,4.05,0.95,1.0499999999999998,3
227,1.43,0.57,16,76,23,-15,-6,361,15,9,40,190,100,14,29,6,-9,4,19,12.268,0.43,2.2680000000000007,10
228,1.15,0.85,225,195,28,2,10,169,-2,8,75,65,25,20,18,-10,-8,15,13,11.748,0.15,6.747999999999999,5
229,1.87,0.13,225,105,22,8,15,49,-8,7,0,0,0,15,7,-15,-7,15,7,1.142,0.87,1.142,0
230,1.5,0.5,4,36,20,-16,-9,324,16,7,22,198,121,13,29,9,-7,2,18,12.954,0.5,1.9540000000000006,11
231,1.41,0.59,121,0,11,11,2,0,-11,-9,99,0,81,20,9,-2,9,11,0,11.348,0.41,2.3480000000000008,9
232,1.73,0.27,225,195,28,2,2,169,-2,0,195,169,169,28,26,-2,0,15,13,14.364,0.73,1.3640000000000008,13
233,1.27,0.73,25,95,24,-14,3,361,14,17,10,38,4,7,21,-3,-17,5,19,6.058,0.27,4.058,2
234,1.9,0.1,144,204,29,-5,-1,289,5,4,156,221,169,25,30,1,-4,12,17,14.088,0.9,1.0879999999999992,13
235,1.27,0.73,16,32,12,-4,-9,64,4,-5,52,104,169,17,21,9,5,4,8,16.838,0.27,3.838000000000001,13
236,1.5,0.5,81,162,27,-9,-1,324,9,8,90,180,100,19,28,1,-8,9,18,11.938,0.5,1.9380000000000006,10
237,1.87,0.13,256,16,17,15,3,1,-15,-12,208,13,169,29,14,-3,12,16,1,14.156,0.87,1.1560000000000006,13
238,1.17,0.83,256,304,35,-3,10,361,3,13,96,114,36,22,25,-10,-13,16,19,11.94,0.17,5.9399999999999995,6
239,1.15,0.85,9,30,13,-7,-8,100,7,-1,33,110,121,14,21,8,1,3,10,17.678,0.15,6.678000000000001,11
240,1.47,0.53,169,65,18,8,9,25,-8,1,52,20,16,17,9,-9,-1,13,5,6.066,0.47,2.066,4
241,1.64,0.36,225,210,29,1,6,196,-1,5,135,126,81,24,23,-6,-5,15,14,10.57,0.64,1.5700000000000003,9
242,1.77,0.23,169,208,29,-3,9,256,3,12,52,64,16,17,20,-9,-12,13,16,5.318,0.77,1.3179999999999996,4
243,1.13,0.87,196,0,14,14,4,0,-14,-10,140,0,100,24,10,-4,10,14,0,17.228,0.13,7.2280000000000015,10
244,1.57,0.43,225,30,17,13,5,4,-13,-8,150,20,100,25,12,-5,8,15,2,11.814,0.57,1.814,10
245,1.41,0.59,100,140,24,-4,-6,196,4,-2,160,224,256,26,30,6,2,10,14,18.502,0.41,2.501999999999999,16
246,1.33,0.67,49,56,15,-1,2,64,1,3,35,40,25,12,13,-2,-3,7,8,8.27,0.33,3.2699999999999996,5
247,1.59,0.41,4,38,21,-17,-18,361,17,-1,40,380,400,22,39,18,1,2,19,21.626,0.59,1.6260000000000012,20
248,1.74,0.26,9,57,22,-16,2,361,16,18,3,19,1,4,20,-2,-18,3,19,2.452,0.74,1.452,1
249,1.48,0.52,324,90,23,13,18,25,-13,5,0,0,0,18,5,-18,-5,18,5,2.14,0.48,2.14,0
250,1.67,0.33,81,9,10,8,-8,1,-8,-16,153,17,289,26,18,8,16,9,1,18.498,0.67,1.498000000000001,17
251,1.12,0.88,4,6,5,-1,-11,9,1,-10,26,39,169,15,16,11,10,2,3,21.644,0.12,8.643999999999998,13
252,1.18,0.82,4,34,19,-15,-12,289,15,3,28,238,196,16,31,12,-3,2,17,19.33,0.18,5.329999999999998,14
253,1.43,0.57,225,270,33,-3,8,324,3,11,105,126,49,22,25,-8,-11,15,18,9.298,0.43,2.298,7
254,1.13,0.87,64,64,16,0,-12,64,0,-12,160,160,400,28,28,12,12,8,8,27.752,0.13,7.751999999999999,20
255,1.54,0.46,196,98,21,7,7,49,-7,0,98,49,49,21,14,-7,0,14,7,8.844,0.54,1.8439999999999994,7
256,1.32,0.68,1,19,20,-18,-19,361,18,-1,20,380,400,21,39,19,1,1,19,23.096,0.32,3.096,20
257,1.79,0.21,361,57,22,16,3,9,-16,-13,304,48,256,35,19,-3,13,19,3,17.258,0.79,1.2579999999999991,16
258,1.73,0.27,36,12,8,4,6,4,-4,2,0,0,0,6,2,-6,-2,6,2,1.418,0.73,1.418,0
259,1.94,0.06,324,126,25,11,3,49,-11,-8,270,105,225,33,22,-3,8,18,7,16.042,0.94,1.0420000000000016,15
260,1.53,0.47,1,12,13,-11,-3,144,11,8,4,48,16,5,16,3,-8,1,12,5.948,0.53,1.9480000000000004,4
261,1.75,0.25,4,14,9,-5,2,49,5,7,0,0,0,2,7,-2,-7,2,7,1.404,0.75,1.404,0
262,1.54,0.46,36,30,11,1,1,25,-1,0,30,25,25,11,10,-1,0,6,5,6.922,0.54,1.9219999999999997,5
263,1.71,0.29,1,10,11,-9,-9,100,9,0,10,100,100,11,20,9,0,1,10,11.452,0.71,1.452,10
264,1.75,0.25,1,0,1,1,-16,0,-1,-17,17,0,289,18,17,16,17,1,0,18.33,0.75,1.3299999999999983,17
265,1.42,0.58,1,13,14,-12,-4,169,12,8,5,65,25,6,18,4,-8,1,13,7.526,0.42,2.526,5
266,1.53,0.47,9,27,12,-6,-8,81,6,-2,33,99,121,14,20,8,2,3,9,12.946,0.53,1.9459999999999997,11
267,1.92,0.08,121,110,21,1,6,100,-1,5,55,50,25,16,15,-6,-5,11,10,6.086,0.92,1.0860000000000003,5
268,1.83,0.17,169,234,31,-5,9,324,5,14,52,72,16,17,22,-9,-14,13,18,5.188,0.83,1.1879999999999997,4
269,1.52,0.48,225,15,16,14,10,1,-14,-4,75,5,25,20,6,-10,4,15,1,6.922,0.52,1.9219999999999997,5
270,1.39,0.61,64,120,23,-7,2,225,7,9,48,90,36,14,21,-2,-9,8,15,8.592,0.39,2.5920000000000005,6
271,1.64,0.36,64,104,21,-5,-12,169,5,-7,160,260,400,28,33,12,7,8,13,21.546,0.64,1.5459999999999994,20
272,1.93,0.07,9,45,18,-12,-12,225,12,0,45,225,225,18,30,12,0,3,15,16.064,0.93,1.064,15
273,1.42,0.58,400,0,20,20,5,0,-20,-15,300,0,225,35,15,-5,15,20,0,17.38,0.42,2.379999999999999,15
274,1.65,0.35,36,78,19,-7,0,169,7,7,36,78,36,12,19,0,-7,6,13,7.516,0.65,1.516,6
275,1.68,0.32,64,144,26,-10,-11,324,10,-1,152,342,361,27,37,11,1,8,18,20.428,0.68,1.4280000000000008,19
276,1.51,0.49,289,85,22,12,5,25,-12,-7,204,60,144,29,17,-5,7,17,5,14.006,0.51,2.0060000000000002,12
277,1.67,0.33,4,2,3,1,-1,1,-1,-2,6,3,9,5,4,1,2,2,1,4.452,0.67,1.452,3
278,1.36,0.64,64,64,16,0,-3,64,0,-3,88,88,121,19,19,3,3,8,8,13.698,0.36,2.6980000000000004,11
279,1.16,0.84,81,27,12,6,8,9,-6,2,9,3,1,10,4,-8,-2,9,3,7.136,0.16,6.136,1
280,1.26,0.74,49,84,19,-5,6,144,5,11,7,12,1,8,13,-6,-11,7,12,5.078,0.26,4.078,1
281,1.69,0.31,225,285,34,-4,-1,361,4,3,240,304,256,31,35,1,-3,15,19,17.48,0.69,1.4800000000000004,16
282,1.21,0.79,324,90,23,13,3,25,-13,-10,270,75,225,33,20,-3,10,18,5,20.01,0.21,5.010000000000002,15
283,1.95,0.05,4,16,10,-6,-16,64,6,-10,36,144,324,20,26,16,10,2,8,19.068,0.95,1.0680000000000014,18
284,1.95,0.05,4,40,22,-18,-14,400,18,4,32,320,256,18,36,14,-4,2,20,17.046,0.95,1.0459999999999994,16
285,1.18,0.82,100,120,22,-2,10,144,2,12,0,0,0,10,12,-10,-12,10,12,5.238,0.18,5.238,0
286,1.28,0.72,9,18,9,-3,3,36,3,6,0,0,0,3,6,-3,-6,3,6,3.59,0.28,3.59,0
287,1.55,0.45,289,0,17,17,11,0,-17,-6,102,0,36,23,6,-11,6,17,0,7.794,0.55,1.7939999999999996,6
288,1.25,0.75,144,180,27,-3,-2,225,3,1,168,210,196,26,29,2,-1,12,15,17.898,0.25,3.8979999999999997,14
289,1.15,0.85,169,65,18,8,13,25,-8,5,0,0,0,13,5,-13,-5,13,5,7.072,0.15,7.072,0
290,1.31,0.69,36,96,22,-10,-1,256,10,9,42,112,49,13,23,1,-9,6,16,10.344,0.31,3.3439999999999994,7
291,1.25,0.75,36,102,23,-11,-7,289,11,4,78,221,169,19,30,7,-4,6,17,16.704,0.25,3.7040000000000006,13
292,1.33,0.67,121,165,26,-4,5,225,4,9,66,90,36,17,21,-5,-9,11,15,8.916,0.33,2.9160000000000004,6
293,1.34,0.66,169,13,14,12,-6,1,-12,-18,247,19,361,32,20,6,18,13,1,22.1,0.34,3.1000000000000014,19
294,1.36,0.64,196,84,20,8,9,36,-8,1,70,30,25,19,11,-9,-1,14,6,7.678,0.36,2.678,5
295,1.78,0.22,9,36,15,-9,-14,144,9,-5,51,204,289,20,29,14,5,3,12,18.264,0.78,1.2639999999999993,17
296,1.52,0.48,324,0,18,18,5,0,-18,-13,234,0,169,31,13,-5,13,18,0,14.946,0.52,1.9459999999999997,13
297,1.6,0.4,121,198,29,-7,7,324,7,14,44,72,16,15,22,-7,-14,11,18,5.728,0.6,1.7279999999999998,4
298,1.31,0.69,16,68,21,-13,4,289,13,17,0,0,0,4,17,-4,-17,4,17,3.082,0.31,3.082,0
299,1.63,0.37,36,72,18,-6,3,144,6,9,18,36,9,9,15,-3,-9,6,12,4.562,0.63,1.5620000000000003,3
300,1.34,0.66,400,240,32,8,13,144,-8,5,140,84,49,27,19,-13,-5,20,12,10.002,0.34,3.0020000000000007,7
301,1.2,0.8,289,17,18,16,-3,1,-16,-19,340,20,400,37,21,3,19,17,1,25.298,0.2,5.297999999999998,20
302,1.38,0.62,100,200,30,-10,5,400,10,15,50,100,25,15,25,-5,-15,10,20,7.766,0.38,2.766,5
303,1.54,0.46,361,266,33,5,4,196,-5,-1,285,210,225,34,29,-4,1,19,14,16.918,0.54,1.9179999999999993,15
304,1.35,0.65,36,78,19,-7,2,169,7,9,24,52,16,10,17,-2,-9,6,13,6.814,0.35,2.814,4
305,1.29,0.71,121,11,12,10,5,1,-10,-5,66,6,36,17,7,-5,5,11,1,9.592,0.29,3.5920000000000005,6
306,1.95,0.05,400,0,20,20,1,0,-20,-19,380,0,361,39,19,-1,19,20,0,20.054,0.95,1.0539999999999985,19
307,1.81,0.19,289,238,31,3,14,196,-3,11,51,42,9,20,17,-14,-11,17,14,4.232,0.81,1.2320000000000002,3
308,1.12,0.88,225,195,28,2,5,169,-2,3,150,130,100,25,23,-5,-3,15,13,17.748,0.12,7.748000000000001,10
309,1.08,0.92,100,110,21,-1,9,121,1,10,10,11,1,11,12,-9,-10,10,11,12.748,0.08,11.748,1
310,1.77,0.23,256,176,27,5,9,121,-5,4,112,77,49,23,18,-9,-4,16,11,8.284,0.77,1.2840000000000007,7
311,1.26,0.74,4,4,4,0,-3,4,0,-3,10,10,25,7,7,3,3,2,2,8.646,0.26,3.646000000000001,5
312,1.82,0.18,361,95,24,14,12,25,-14,-2,133,35,49,26,12,-12,2,19,5,8.252,0.82,1.2520000000000007,7
313,1.26,0.74,81,63,16,2,-11,49,-2,-13,180,140,400,29,27,11,13,9,7,24.008,0.26,4.007999999999999,20
314,1.69,0.31,16,60,19,-11,-3,225,11,8,28,105,49,11,22,3,-8,4,15,8.406,0.69,1.4060000000000006,7
315,1.58,0.42,36,18,9,3,0,9,-3,-3,36,18,36,12,9,0,3,6,3,7.66,0.58,1.6600000000000001,6
316,1.55,0.45,144,60,17,7,6,25,-7,-1,72,30,36,18,11,-6,1,12,5,7.89,0.55,1.8899999999999997,6
317,1.54,0.46,64,48,14,2,-5,36,-2,-7,104,78,169,21,19,5,7,8,6,14.816,0.54,1.8160000000000007,13
318,1.65,0.35,1,15,16,-14,-10,225,14,4,11,165,121,12,26,10,-4,1,15,12.49,0.65,1.4900000000000002,11
319,1.22,0.78,4,32,18,-14,-3,256,14,11,10,80,25,7,21,3,-11,2,16,9.28,0.22,4.279999999999999,5
320,1.35,0.65,256,240,31,1,15,225,-1,14,16,15,1,17,16,-15,-14,16,15,3.944,0.35,2.944,1
321,1.83,0.17,361,0,19,19,19,0,-19,0,0,0,0,19,0,-19,0,19,0,1.208,0.83,1.208,0
322,1.59,0.41,25,55,16,-6,-2,121,6,4,35,77,49,12,18,2,-4,5,11,8.674,0.59,1.6739999999999995,7
323,1.36,0.64,81,36,13,5,7,16,-5,2,18,8,4,11,6,-7,-2,9,4,4.602,0.36,2.6020000000000003,2
324,1.93,0.07,225,45,18,12,-5,9,-12,-17,300,60,400,35,23,5,17,15,3,21.05,0.93,1.0500000000000007,20
325,1.6,0.4,100,50,15,5,6,25,-5,1,40,20,16,14,9,-6,-1,10,5,5.72,0.6,1.7199999999999998,4
326,1.74,0.26,324,90,23,13,10,25,-13,-3,144,40,64,26,13,-10,3,18,5,9.324,0.74,1.3239999999999998,8
327,1.48,0.52,225,195,28,2,15,169,-2,13,0,0,0,15,13,-15,-13,15,13,2.116,0.48,2.116,0
328,1.42,0.58,196,112,22,6,13,64,-6,7,14,8,1,15,9,-13,-7,14,8,3.326,0.42,2.326,1
329,1.91,0.09,225,285,34,-4,5,361,4,9,150,190,100,25,29,-5,-9,15,19,11.078,0.91,1.0779999999999994,10
330,1.13,0.87,400,0,20,20,12,0,-20,-8,160,0,64,28,8,-12,8,20,0,16.13,0.13,8.129999999999999,8
331,1.75,0.25,1,16,17,-15,-9,256,15,6,10,160,100,11,26,9,-6,1,16,11.366,0.75,1.3659999999999997,10
332,1.13,0.87,196,0,14,14,4,0,-14,-10,140,0,100,24,10,-4,10,14,0,17.95,0.13,7.949999999999999,10
333,1.59,0.41,16,68,21,-13,-13,289,13,0,68,289,289,21,34,13,0,4,17,18.684,0.59,1.684000000000001,17
334,1.31,0.69,1,7,8,-6,-3,49,6,3,4,28,16,5,11,3,-3,1,7,7.22,0.31,3.2199999999999998,4
335,1.26,0.74,400,320,36,4,18,256,-4,14,40,32,4,22,18,-18,-14,20,16,5.89,0.26,3.8899999999999997,2
336,1.91,0.09,36,66,17,-5,-6,121,5,-1,72,132,144,18,23,6,1,6,11,13.106,0.91,1.1059999999999999,12
337,1.68,0.32,144,72,18,6,-5,36,-6,-11,204,102,289,29,23,5,11,12,6,18.464,0.68,1.4639999999999986,17
338,1.13,0.87,1,12,13,-11,-3,144,11,8,4,48,16,5,16,3,-8,1,12,11.856,0.13,7.856,4
339,1.2,0.8,100,40,14,6,-10,16,-6,-16,200,80,400,30,24,10,16,10,4,24.764,0.2,4.763999999999999,20
340,1.68,0.32,289,187,28,6,3,121,-6,-3,238,154,196,31,25,-3,3,17,11,15.462,0.68,1.4619999999999997,14
341,1.81,0.19,289,340,37,-3,13,400,3,16,68,80,16,21,24,-13,-16,17,20,5.222,0.81,1.2220000000000004,4
342,1.16,0.84,196,266,33,-5,-3,361,5,2,238,323,289,31,36,3,-2,14,19,23.216,0.16,6.216000000000001,17
343,1.9,0.1,81,162,27,-9,-4,324,9,5,117,234,169,22,31,4,-5,9,18,14.108,0.9,1.1080000000000005,13
344,1.53,0.47,25,75,20,-10,-11,225,10,-1,80,240,256,21,31,11,1,5,15,17.974,0.53,1.9740000000000002,16
345,1.26,0.74,225,180,27,3,10,144,-3,7,75,60,25,20,17,-10,-7,15,12,8.848,0.26,3.8480000000000008,5
346,1.38,0.62,324,72,22,14,5,16,-14,-9,234,52,169,31,17,-5,9,18,4,15.558,0.38,2.558,13
347,1.48,0.52,256,256,32,0,10,256,0,10,96,96,36,22,22,-10,-10,16,16,8.12,0.48,2.119999999999999,6
348,1.56,0.44,16,36,13,-5,0,81,5,5,16,36,16,8,13,0,-5,4,9,5.818,0.56,1.8179999999999996,4
349,1.77,0.23,36,114,25,-13,-14,361,13,-1,120,380,400,26,39,14,1,6,19,21.322,0.77,1.3219999999999992,20
350,1.72,0.28,4,4,4,0,-15,4,0,-15,34,34,289,19,19,15,15,2,2,18.346,0.72,1.346,17
351,1.56,0.44,289,153,26,8,-3,81,-8,-11,340,180,400,37,29,3,11,17,9,21.716,0.56,1.716000000000001,20
352,1.82,0.18,1,17,18,-16,-2,289,16,14,3,51,9,4,20,2,-14,1,17,4.218,0.82,1.218,3
353,1.06,0.94,400,400,40,0,1,400,0,1,380,380,361,39,39,-1,-1,20,20,35.848,0.06,16.848,19
354,1.32,0.68,361,38,21,17,10,4,-17,-7,171,18,81,28,11,-10,7,19,2,11.916,0.32,2.9160000000000004,9
355,1.78,0.22,25,5,6,4,-14,1,-4,-18,95,19,361,24,20,14,18,5,1,20.29,0.78,1.2899999999999991,19
356,1.59,0.41,49,119,24,-10,2,289,10,12,35,85,25,12,22,-2,-12,7,17,6.696,0.59,1.6959999999999997,5
357,1.92,0.08,1,18,19,-17,-4,324,17,13,5,90,25,6,23,4,-13,1,18,6.084,0.92,1.0839999999999996,5
358,1.38,0.62,256,320,36,-4,8,400,4,12,128,160,64,24,28,-8,-12,16,20,10.564,0.38,2.564,8
359,1.74,0.26,225,90,21,9,-5,36,-9,-14,300,120,400,35,26,5,14,15,6,21.362,0.74,1.3619999999999983,20
360,1.65,0.35,16,68,21,-13,-16,289,13,-3,80,340,400,24,37,16,3,4,17,21.54,0.65,1.5399999999999991,20
361,1.41,0.59,16,12,7,1,0,9,-1,-1,16,12,16,8,7,0,1,4,3,6.48,0.41,2.4800000000000004,4
362,1.36,0.64,256,64,20,12,14,16,-12,2,32,8,4,18,6,-14,-2,16,4,4.84,0.36,2.84,2
363,1.45,0.55,256,160,26,6,13,100,-6,7,48,30,9,19,13,-13,-7,16,10,5.164,0.45,2.1639999999999997,3
364,1.84,0.16,9,54,21,-15,-5,324,15,10,24,144,64,11,26,5,-10,3,18,9.21,0.84,1.2100000000000009,8
365,1.75,0.25,196,210,29,-1,-5,225,1,-4,266,285,361,33,34,5,4,14,15,20.388,0.75,1.3880000000000017,19
366,1.39,0.61,16,60,19,-11,4,225,11,15,0,0,0,4,15,-4,-15,4,15,2.616,0.39,2.616,0
367,1.47,0.53,256,32,18,14,8,4,-14,-6,128,16,64,24,10,-8,6,16,2,10.154,0.47,2.154,8
368,1.75,0.25,400,80,24,16,4,16,-16,-12,320,64,256,36,20,-4,12,20,4,17.294,0.75,1.2940000000000005,16
369,1.65,0.35,36,54,15,-3,1,81,3,4,30,45,25,11,14,-1,-4,6,9,6.576,0.65,1.5759999999999996,5
370,1.94,0.06,1,9,10,-8,-7,81,8,1,8,72,64,9,17,7,-1,1,9,9.07,0.94,1.0700000000000003,8
371,1.6,0.4,64,136,25,-9,-6,289,9,3,112,238,196,22,31,6,-3,8,17,15.568,0.6,1.5679999999999996,14
372,1.48,0.52,64,120,23,-7,-1,225,7,6,72,135,81,17,24,1,-6,8,15,10.966,0.48,1.9659999999999993,9
373,1.17,0.83,81,9,10,8,-8,1,-8,-16,153,17,289,26,18,8,16,9,1,22.578,0.17,5.577999999999999,17
374,1.07,0.93,256,48,19,13,8,9,-13,-5,128,24,64,24,11,-8,5,16,3,21.144,0.07,13.143999999999998,8
375,1.6,0.4,49,21,10,4,-5,9,-4,-9,84,36,144,19,15,5,9,7,3,13.748,0.6,1.7479999999999993,12
376,1.15,0.85,361,0,19,19,2,0,-19,-17,323,0,289,36,17,-2,17,19,0,23.656,0.15,6.655999999999999,17
377,1.59,0.41,169,169,26,0,9,169,0,9,52,52,16,17,17,-9,-9,13,13,5.772,0.59,1.7720000000000002,4
378,1.94,0.06,49,49,14,0,-10,49,0,-10,119,119,289,24,24,10,10,7,7,18.048,0.94,1.0479999999999983,17
379,1.17,0.83,100,120,22,-2,6,144,2,8,40,48,16,14,16,-6,-8,10,12,9.894,0.17,5.894,4
380,1.18,0.82,64,16,10,6,-4,4,-6,-10,96,24,144,20,14,4,10,8,2,17.444,0.18,5.443999999999999,12
381,1.73,0.27,256,112,23,9,5,49,-9,-4,176,77,121,27,18,-5,4,16,7,12.304,0.73,1.3040000000000003,11
382,1.22,0.78,169,208,29,-3,-5,256,3,-2,234,288,324,31,34,5,2,13,16,22.79,0.22,4.789999999999999,18
383,1.42,0.58,196,154,25,3,6,121,-3,3,112,88,64,22,19,-6,-3,14,11,10.53,0.42,2.5299999999999994,8
384,1.36,0.64,400,80,24,16,0,16,-16,-16,400,80,400,40,24,0,16,20,4,22.748,0.36,2.748000000000001,20
385,1.62,0.38,4,22,13,-9,-10,121,9,-1,24,132,144,14,23,10,1,2,11,13.662,0.62,1.6620000000000008,12
386,1.6,0.4,169,91,20,6,-4,49,-6,-10,221,119,289,30,24,4,10,13,7,18.754,0.6,1.7540000000000013,17
387,1.07,0.93,16,60,19,-11,4,225,11,15,0,0,0,4,15,-4,-15,4,15,14.596,0.07,14.596,0
388,1.77,0.23,81,135,24,-6,-7,225,6,-1,144,240,256,25,31,7,1,9,15,17.296,0.77,1.2959999999999994,16
389,1.32,0.68,36,60,16,-4,-2,100,4,2,48,80,64,14,18,2,-2,6,10,11.026,0.32,3.026,8
390,1.07,0.93,81,63,16,2,4,49,-2,2,45,35,25,14,12,-4,-2,9,7,19.26,0.07,14.260000000000002,5
391,1.24,0.76,4,2,3,1,-2,1,-1,-3,8,4,16,6,5,2,3,2,1,8.334,0.24,4.334,4
392,1.42,0.58,9,57,22,-16,-6,361,16,10,27,171,81,12,28,6,-10,3,19,11.318,0.42,2.3179999999999996,9
393,1.28,0.72,121,66,17,5,2,36,-5,-3,99,54,81,20,15,-2,3,11,6,12.526,0.28,3.526,9
394,1.56,0.44,361,114,25,13,15,36,-13,2,76,24,16,23,10,-15,-2,19,6,5.832,0.56,1.8319999999999999,4
395,1.08,0.92,169,91,20,6,5,49,-6,-1,104,56,64,21,15,-5,1,13,7,20.744,0.08,12.744,8
396,1.38,0.62,16,44,15,-7,-11,121,7,-4,60,165,225,19,26,11,4,4,11,17.588,0.38,2.588000000000001,15
397,1.88,0.12,64,64,16,0,4,64,0,4,32,32,16,12,12,-4,-4,8,8,5.13,0.88,1.13,4
398,1.45,0.55,9,51,20,-14,-5,289,14,9,24,136,64,11,25,5,-9,3,17,10.158,0.45,2.1579999999999995,8
399,1.56,0.44,256,128,24,8,15,64,-8,7,16,8,1,17,9,-15,-7,16,8,2.744,0.56,1.7440000000000002,1
400,1.91,0.09,36,78,19,-7,-12,169,7,-5,108,234,324,24,31,12,5,6,13,19.098,0.91,1.097999999999999,18
401,1.16,0.84,1,9,10,-8,-13,81,8,-5,14,126,196,15,23,13,5,1,9,20.134,0.16,6.134,14
402,1.48,0.52,1,12,13,-11,-13,144,11,-2,14,168,196,15,26,13,2,1,12,16.118,0.48,2.1179999999999986,14
403,1.85,0.15,100,200,30,-10,10,400,10,20,0,0,0,10,20,-10,-20,10,20,1.168,0.85,1.168,0
404,1.31,0.69,25,45,14,-4,-10,81,4,-6,75,135,225,20,24,10,6,5,9,18.148,0.31,3.1479999999999997,15
405,1.39,0.61,196,266,33,-5,13,361,5,18,14,19,1,15,20,-13,-18,14,19,3.55,0.39,2.55,1
406,1.35,0.65,361,171,28,10,7,81,-10,-3,228,108,144,31,21,-7,3,19,9,14.842,0.35,2.8420000000000005,12
407,1.09,0.91,16,44,15,-7,-5,121,7,2,36,99,81,13,20,5,-2,4,11,20.062,0.09,11.062000000000001,9
408,1.5,0.5,49,7,8,6,4,1,-6,-2,21,3,9,10,4,-4,2,7,1,5.068,0.5,2.0679999999999996,3
409,1.78,0.22,196,196,28,0,8,196,0,8,84,84,36,20,20,-8,-8,14,14,7.314,0.78,1.314,6
410,1.61,0.39,169,208,29,-3,6,256,3,9,91,112,49,20,23,-6,-9,13,16,8.602,0.61,1.6020000000000003,7
411,1.78,0.22,400,400,40,0,10,400,0,10,200,200,100,30,30,-10,-10,20,20,11.324,0.78,1.3239999999999998,10
412,1.86,0.14,361,0,19,19,5,0,-19,-14,266,0,196,33,14,-5,14,19,0,15.15,0.86,1.1500000000000004,14
413,1.14,0.86,289,136,25,9,11,64,-9,2,102,48,36,23,14,-11,-2,17,8,13.406,0.14,7.406000000000001,6
414,1.13,0.87,289,153,26,8,11,81,-8,3,102,54,36,23,15,-11,-3,17,9,13.69,0.13,7.6899999999999995,6
415,1.67,0.33,196,70,19,9,4,25,-9,-5,140,50,100,24,15,-4,5,14,5,11.47,0.67,1.4700000000000006,10
416,1.48,0.52,81,171,28,-10,-8,361,10,2,153,323,289,26,36,8,-2,9,19,19.09,0.48,2.09,17
417,1.26,0.74,9,54,21,-15,3,324,15,18,0,0,0,3,18,-3,-18,3,18,3.818,0.26,3.818,0
418,1.24,0.76,1,7,8,-6,-16,49,6,-10,17,119,289,18,24,16,10,1,7,21.588,0.24,4.588000000000001,17
419,1.43,0.57,36,6,7,5,1,1,-5,-4,30,5,25,11,6,-1,4,6,1,7.338,0.43,2.338,5
420,1.91,0.09,324,180,28,8,5,100,-8,-3,234,130,169,31,23,-5,3,18,10,14.076,0.91,1.0760000000000005,13
421,1.51,0.49,289,187,28,6,1,121,-6,-5,272,176,256,33,27,-1,5,17,11,17.914,0.51,1.9140000000000015,16
422,1.3,0.7,4,2,3,1,-8,1,-1,-9,20,10,100,12,11,8,9,2,1,13.312,0.3,3.3119999999999994,10
423,1.47,0.53,49,105,22,-8,-13,225,8,-5,140,300,400,27,35,13,5,7,15,22.126,0.47,2.1260000000000012,20
