,(1+p),(1-p),(b*b),(b*c),(b+c),(b-c),(b-rounds),(c*c),(c-b),(c-rounds),(rounds*b),(rounds*c),(rounds*rounds),(rounds+b),(rounds+c),(rounds-b),(rounds-c),b,c,expected_post,p,post-init,rounds
48,1.64,0.36,225,240,31,-1,5,256,1,6,150,160,100,25,26,-5,-6,15,16,11.608,0.64,1.6080000000000005,10
49,1.31,0.69,361,342,37,1,3,324,-1,2,304,288,256,35,34,-3,-2,19,18,19.37,0.31,3.370000000000001,16
50,1.06,0.94,196,210,29,-1,0,225,1,1,196,210,196,28,29,0,-1,14,15,30.504,0.06,16.504,14
51,1.6,0.4,169,156,25,1,12,144,-1,11,13,12,1,14,13,-12,-11,13,12,2.628,0.6,1.6280000000000001,1
52,1.38,0.62,361,0,19,19,9,0,-19,-10,190,0,100,29,10,-9,10,19,0,12.702,0.38,2.702,10
53,1.09,0.91,4,26,15,-11,-7,169,11,4,18,117,81,11,22,7,-4,2,13,19.902,0.09,10.902000000000001,9
54,1.11,0.89,289,17,18,16,9,1,-16,-7,136,8,64,25,9,-9,7,17,1,17.086,0.11,9.085999999999999,8
55,1.21,0.79,400,280,34,6,12,196,-6,6,160,112,64,28,22,-12,-6,20,14,12.632,0.21,4.632,8
56,1.68,0.32,64,32,12,4,-5,16,-4,-9,104,52,169,21,17,5,9,8,4,14.434,0.68,1.4339999999999993,13
57,1.35,0.65,169,0,13,13,10,0,-13,-3,39,0,9,16,3,-10,3,13,0,5.912,0.35,2.912,3
58,1.63,0.37,9,60,23,-17,-4,400,17,13,21,140,49,10,27,4,-13,3,20,8.562,0.63,1.5619999999999994,7
59,1.49,0.51,144,156,25,-1,-2,169,1,-1,168,182,196,26,27,2,1,12,13,16.044,0.49,2.0440000000000005,14
60,1.49,0.51,196,140,24,4,13,100,-4,9,14,10,1,15,11,-13,-9,14,10,2.972,0.49,1.972,1
61,1.66,0.34,100,70,17,3,-5,49,-3,-8,150,105,225,25,22,5,8,10,7,16.488,0.66,1.4879999999999995,15
62,1.36,0.64,4,2,3,1,-14,1,-1,-15,32,16,256,18,17,14,15,2,1,18.704,0.36,2.7040000000000006,16
63,1.17,0.83,225,15,16,14,13,1,-14,-1,30,2,4,17,3,-13,1,15,1,7.798,0.17,5.798,2
64,1.5,0.5,16,44,15,-7,-11,121,7,-4,60,165,225,19,26,11,4,4,11,16.948,0.5,1.9480000000000004,15
65,1.8,0.2,324,306,35,1,3,289,-1,2,270,255,225,33,32,-3,-2,18,17,16.218,0.8,1.218,15
