,((p+(1/p))-p*(1/p)),(1+(1/p)),(1+p),(1-(1/p)),(1-p),(1/p),(p*(1/p)),(p+(1/p)),(x*x),(x*y),(x+y),(x-y),(y*y),(y-x),(z*z),expected_post,p,post-init,x,y,z
43,1.5,3.0,1.5,-1.0,0.5,2.0,1.0,2.5,1,18,19,-17,324,17,1,21.23,0.5,20.23,1,18,1
44,5.41,7.25,1.16,-5.25,0.84,6.25,1.0,6.41,196,28,16,12,4,-12,1,60.934,0.16,46.934,14,2,1
45,4.2,6.0,1.2,-4.0,0.8,5.0,1.0,5.2,49,84,19,-5,144,5,1,81.648,0.2,74.648,7,12,1
46,1.04,2.23,1.81,-0.23,0.19,1.23,1.0,2.04,64,80,18,-2,100,2,1,10.738,0.81,2.7379999999999995,8,10,1
47,1.63,3.17,1.46,-1.17,0.54,2.17,1.0,2.63,289,204,29,5,144,-5,1,33.76,0.46,16.759999999999998,17,12,1
48,1.04,2.23,1.81,-0.23,0.19,1.23,1.0,2.04,81,144,25,-7,256,7,1,12.908,0.81,3.9079999999999995,9,16,1
49,2.21,3.86,1.35,-1.86,0.65,2.86,1.0,3.21,4,26,15,-11,169,11,1,28.646,0.35,26.646,2,13,1
50,1.01,2.08,1.93,-0.08,0.07,1.08,1.0,2.01,25,40,13,-3,64,3,1,5.79,0.93,0.79,5,8,1
51,4.2,6.0,1.2,-4.0,0.8,5.0,1.0,5.2,400,340,37,3,289,-3,1,117.868,0.2,97.868,20,17,1
52,1.18,2.52,1.66,-0.52,0.34,1.52,1.0,2.18,81,0,9,9,0,-9,1,9.83,0.66,0.8300000000000001,9,0,1
53,1.07,2.3,1.77,-0.3,0.23,1.3,1.0,2.07,4,32,18,-14,256,14,1,7.242,0.77,5.242,2,16,1
54,1.9,3.5,1.4,-1.5,0.6,2.5,1.0,2.9,36,0,6,6,0,-6,1,9.984,0.4,3.984,6,0,1
55,1.02,2.16,1.86,-0.16,0.14,1.16,1.0,2.02,100,120,22,-2,144,2,1,11.964,0.86,1.9640000000000004,10,12,1
56,1.9,3.5,1.4,-1.5,0.6,2.5,1.0,2.9,4,10,7,-3,25,3,1,13.686,0.4,11.686,2,5,1
57,1.13,2.43,1.7,-0.43,0.3,1.43,1.0,2.13,4,38,21,-17,361,17,1,11.576,0.7,9.576,2,19,1
58,1.56,3.08,1.48,-1.08,0.52,2.08,1.0,2.56,64,152,27,-11,361,11,1,30.666,0.48,22.666,8,19,1
