,((p+(1/p))-p*(1/p)),(1+(1/p)),(1+p),(1-(1/p)),(1-p),(1/p),(p*(1/p)),(p+(1/p)),(x*x),(x*y),(x+y),(x-y),(y*y),(y-x),(z*z),expected_post,p,post-init,x,y,z
191,2.07,3.7,1.37,-1.7,0.63,2.7,1.0,3.07,16,44,15,-7,121,7,1,28.098,0.37,24.098,4,11,1
192,5.05,6.88,1.17,-4.88,0.83,5.88,1.0,6.05,256,240,31,1,225,-1,1,121.942,0.17,105.942,16,15,1
193,19.05,21.0,1.05,-19.0,0.95,20.0,1.0,20.05,324,36,20,16,4,-16,1,375.732,0.05,357.732,18,2,1
194,1.44,2.92,1.52,-0.92,0.48,1.92,1.0,2.44,0,0,12,-12,144,12,1,11.944,0.52,11.944,0,12,1
195,5.82,7.67,1.15,-5.67,0.85,6.67,1.0,6.82,9,0,3,3,0,-3,1,37.384,0.15,34.384,3,0,1
196,1.08,2.33,1.75,-0.33,0.25,1.33,1.0,2.08,361,76,23,15,16,-15,1,20.636,0.75,1.6359999999999992,19,4,1
197,1.44,2.92,1.52,-0.92,0.48,1.92,1.0,2.44,144,192,28,-4,256,4,1,29.258,0.52,17.258,12,16,1
198,6.82,8.69,1.13,-6.69,0.87,7.69,1.0,7.82,400,360,38,2,324,-2,1,181.556,0.13,161.556,20,18,1
199,8.2,10.09,1.11,-8.09,0.89,9.09,1.0,9.2,121,33,14,8,9,-8,1,104.916,0.11,93.916,11,3,1
200,1.03,2.2,1.83,-0.2,0.17,1.2,1.0,2.03,361,133,26,12,49,-12,1,20.722,0.83,1.7220000000000013,19,7,1
201,2.44,4.12,1.32,-2.12,0.68,3.12,1.0,3.44,196,0,14,14,0,-14,1,19.878,0.32,5.878,14,0,1
202,1.11,2.39,1.72,-0.39,0.28,1.39,1.0,2.11,400,120,26,14,36,-14,1,22.786,0.72,2.7860000000000014,20,6,1
203,1.02,2.16,1.86,-0.16,0.14,1.16,1.0,2.02,64,72,17,-1,81,1,1,9.762,0.86,1.7620000000000005,8,9,1
204,7.45,9.33,1.12,-7.33,0.88,8.33,1.0,8.45,121,0,11,11,0,-11,1,63.88,0.12,52.88,11,0,1
205,1.13,2.43,1.7,-0.43,0.3,1.43,1.0,2.13,400,300,35,5,225,-5,1,26.75,0.7,6.75,20,15,1
206,1.04,2.23,1.81,-0.23,0.19,1.23,1.0,2.04,324,162,27,9,81,-9,1,20.448,0.81,2.4480000000000004,18,9,1
207,1.01,2.08,1.93,-0.08,0.07,1.08,1.0,2.01,225,15,16,14,1,-14,1,15.104,0.93,0.1039999999999992,15,1,1
208,2.14,3.78,1.36,-1.78,0.64,2.78,1.0,3.14,81,162,27,-9,324,9,1,50.072,0.36,41.072,9,18,1
209,1.63,3.17,1.46,-1.17,0.54,2.17,1.0,2.63,169,182,27,-1,196,1,1,32.2,0.46,19.200000000000003,13,14,1
210,1.37,2.82,1.55,-0.82,0.45,1.82,1.0,2.37,1,7,8,-6,49,6,1,8.15,0.55,7.15,1,7,1
211,1.28,2.69,1.59,-0.69,0.41,1.69,1.0,2.28,256,304,35,-3,361,3,1,31.928,0.59,15.928,16,19,1
212,1.35,2.79,1.56,-0.79,0.44,1.79,1.0,2.35,100,80,18,2,64,-2,1,17.614,0.56,7.614000000000001,10,8,1
213,3.41,5.17,1.24,-3.17,0.76,4.17,1.0,4.41,196,0,14,14,0,-14,1,25.884,0.24,11.884,14,0,1
214,1.76,3.33,1.43,-1.33,0.57,2.33,1.0,2.76,64,64,16,0,64,0,1,20.88,0.43,12.879999999999999,8,8,1
215,2.36,4.03,1.33,-2.03,0.67,3.03,1.0,3.36,144,0,12,12,0,-12,1,18.854,0.33,6.853999999999999,12,0,1
216,6.82,8.69,1.13,-6.69,0.87,7.69,1.0,7.82,64,160,28,-12,400,12,1,191.696,0.13,183.696,8,20,1
217,1.44,2.92,1.52,-0.92,0.48,1.92,1.0,2.44,9,27,12,-6,81,6,1,13.666,0.52,10.666,3,9,1
218,4.74,6.56,1.18,-4.56,0.82,5.56,1.0,5.74,4,32,18,-14,256,14,1,94.834,0.18,92.834,2,16,1
219,1.44,2.92,1.52,-0.92,0.48,1.92,1.0,2.44,225,270,33,-3,324,3,1,33.438,0.52,18.438000000000002,15,18,1
220,1.16,2.49,1.67,-0.49,0.33,1.49,1.0,2.16,256,0,16,16,0,-16,1,16.672,0.67,0.6720000000000006,16,0,1
221,1.67,3.22,1.45,-1.22,0.55,2.22,1.0,2.67,361,247,32,6,169,-6,1,40.05,0.45,21.049999999999997,19,13,1
222,1.22,2.59,1.63,-0.59,0.37,1.59,1.0,2.22,144,12,13,11,1,-11,1,13.236,0.63,1.2360000000000007,12,1,1
223,1.02,2.14,1.88,-0.14,0.12,1.14,1.0,2.02,256,176,27,5,121,-5,1,17.65,0.88,1.6499999999999986,16,11,1
224,13.36,15.29,1.07,-13.29,0.93,14.29,1.0,14.36,64,0,8,8,0,-8,1,179.894,0.07,171.894,8,0,1
225,1.02,2.16,1.86,-0.16,0.14,1.16,1.0,2.02,9,57,22,-16,361,16,1,6.382,0.86,3.3819999999999997,3,19,1
226,1.03,2.2,1.83,-0.2,0.17,1.2,1.0,2.03,0,0,12,-12,144,12,1,2.774,0.83,2.774,0,12,1
227,6.28,8.14,1.14,-6.14,0.86,7.14,1.0,7.28,289,272,33,1,256,-1,1,168.384,0.14,151.384,17,16,1
228,2.14,3.78,1.36,-1.78,0.64,2.78,1.0,3.14,324,162,27,9,81,-9,1,40.974,0.36,22.973999999999997,18,9,1
229,1.9,3.5,1.4,-1.5,0.6,2.5,1.0,2.9,36,90,21,-9,225,9,1,33.734,0.4,27.734,6,15,1
230,1.01,2.1,1.91,-0.1,0.09,1.1,1.0,2.01,100,80,18,2,64,-2,1,10.878,0.91,0.8780000000000001,10,8,1
231,1.8,3.38,1.42,-1.38,0.58,2.38,1.0,2.8,36,96,22,-10,256,10,1,33.974,0.42,27.973999999999997,6,16,1
232,1.53,3.04,1.49,-1.04,0.51,2.04,1.0,2.53,64,56,15,1,49,-1,1,17.818,0.49,9.818000000000001,8,7,1
233,11.58,13.5,1.08,-11.5,0.92,12.5,1.0,12.58,324,216,30,6,144,-6,1,289.132,0.08,271.132,18,12,1
234,1.35,2.79,1.56,-0.79,0.44,1.79,1.0,2.35,324,360,38,-2,400,2,1,35.126,0.56,17.125999999999998,18,20,1
