,(1+p),(1-p),(x*x),(x*z),(x+z),(x-z),(z*z),(z-x),expected_post,p,post-init,x,z
468,1.64,0.36,289,272,33,1,256,-1,42.48,0.64,26.479999999999997,17,16
469,1.32,0.68,16,0,4,4,0,-4,12.328,0.32,12.328,4,0
470,1.33,0.67,25,60,17,-7,144,7,27.36,0.33,15.36,5,12
471,1.34,0.66,256,32,18,14,4,-14,49.168,0.34,47.168,16,2
472,1.86,0.14,1,1,2,0,1,0,2.166,0.86,1.166,1,1
473,1.53,0.47,49,84,19,-5,144,5,25.524,0.53,13.524000000000001,7,12
474,1.73,0.27,100,30,13,7,9,-7,16.758,0.73,13.758,10,3
475,1.94,0.06,36,48,14,-2,64,2,14.382,0.94,6.382,6,8
476,1.35,0.65,25,35,12,-2,49,2,21.58,0.35,14.579999999999998,5,7
477,1.93,0.07,324,342,37,-1,361,1,38.298,0.93,19.298000000000002,18,19
478,1.14,0.86,16,60,19,-11,225,11,43.814,0.14,28.814,4,15
479,1.13,0.87,100,110,21,-1,121,1,87.434,0.13,76.434,10,11
480,1.11,0.89,16,64,20,-12,256,12,52.278,0.11,36.278,4,16
