,(x*x),(x*y),(x+y),(x-y),(x-z),(y*y),(y-x),(y-z),(z*x),(z*y),(z*z),(z+x),(z+y),(z-x),(z-y),expected_post,post-init,x,y,z
62,25,70,19,-9,4,196,9,13,5,14,1,6,15,-4,-13,43.488,42.488,5,14,1
63,169,221,30,-4,-1,289,4,3,182,238,196,27,31,1,-3,66.67,52.67,13,17,14
64,256,320,36,-4,15,400,4,19,16,20,1,17,21,-15,-19,61.012,60.012,16,20,1
65,81,135,24,-6,5,225,6,11,36,60,16,13,19,-5,-11,56.51,52.51,9,15,4
66,9,27,12,-6,0,81,6,6,9,27,9,6,12,0,-6,21.082,18.082,3,9,3
67,36,120,26,-14,-12,400,14,2,108,360,324,24,38,12,-2,97.148,79.148,6,20,18
68,1,13,14,-12,-8,169,12,4,9,117,81,10,22,8,-4,21.648,12.648,1,13,9
69,1,3,4,-2,-12,9,2,-10,13,39,169,14,16,12,10,15.026,2.026,1,3,13
70,9,24,11,-5,-11,64,5,-6,42,112,196,17,22,11,6,28.856,14.856000000000002,3,8,14
71,36,72,18,-6,-6,144,6,0,72,144,144,18,24,6,0,47.772,35.772,6,12,12
72,1,15,16,-14,-16,225,14,-2,17,255,289,18,32,16,2,31.964,14.963999999999999,1,15,17
73,256,304,35,-3,0,361,3,3,256,304,256,32,35,0,-3,67.008,51.007999999999996,16,19,16
74,4,34,19,-15,-14,289,15,1,32,272,256,18,33,14,-1,43.39,27.39,2,17,16
75,64,72,17,-1,-1,81,1,0,72,81,81,17,18,1,0,16.994,7.994,8,9,9
76,361,380,39,-1,14,400,1,15,95,100,25,24,25,-14,-15,24.928,19.928,19,20,5
77,121,165,26,-4,4,225,4,8,77,105,49,18,22,-4,-8,50.954,43.954,11,15,7
78,144,156,25,-1,1,169,1,2,132,143,121,23,24,-1,-2,23.216,12.216000000000001,12,13,11
79,1,4,5,-3,-19,16,3,-16,20,80,400,21,24,19,16,23.096,3.096,1,4,20
80,25,80,21,-11,-7,256,11,4,60,192,144,17,28,7,-4,65.32,53.31999999999999,5,16,12
81,256,304,35,-3,6,361,3,9,160,190,100,26,29,-6,-9,61.462,51.462,16,19,10
82,4,12,8,-4,-2,36,4,2,8,24,16,6,10,2,-2,11.896,7.896000000000001,2,6,4
83,16,32,12,-4,-4,64,4,0,32,64,64,12,16,4,0,23.968,15.968,4,8,8
84,9,15,8,-2,0,25,2,2,9,15,9,6,8,0,-2,8.938,5.938000000000001,3,5,3
85,196,210,29,-1,6,225,1,7,112,120,64,22,23,-6,-7,23.472,15.472000000000001,14,15,8
86,81,126,23,-5,-9,196,5,-4,162,252,324,27,32,9,4,63.784,45.784,9,14,18
87,9,12,7,-1,1,16,1,2,6,8,4,5,6,-1,-2,5.068,3.0679999999999996,3,4,2
88,169,195,28,-2,4,225,2,6,117,135,81,22,24,-4,-6,33.02,24.020000000000003,13,15,9
89,1,7,8,-6,-19,49,6,-13,20,140,400,21,27,19,13,26.462,6.462,1,7,20
90,81,153,26,-8,-8,289,8,0,153,289,289,26,34,8,0,83.826,66.826,9,17,17
91,16,36,13,-5,-4,81,5,1,32,72,64,12,17,4,-1,28.316,20.316,4,9,8
92,49,133,26,-12,-2,361,12,10,63,171,81,16,28,2,-10,90.746,81.746,7,19,9
93,1,8,9,-7,-16,64,7,-9,17,136,289,18,25,16,9,24.084,7.084,1,8,17
94,36,84,20,-8,-5,196,8,3,66,154,121,17,25,5,-3,63.024,52.024,6,14,11
95,36,48,14,-2,-1,64,2,1,42,56,49,13,15,1,-1,18.76,11.760000000000002,6,8,7
96,225,285,34,-4,4,361,4,8,165,209,121,26,30,-4,-8,69.69,58.69,15,19,11
97,225,285,34,-4,0,361,4,4,225,285,225,30,34,0,-4,75.74,60.739999999999995,15,19,15
98,64,88,19,-3,-3,121,3,0,88,121,121,19,22,3,0,34.824,23.823999999999998,8,11,11
99,16,80,24,-16,-1,400,16,15,20,100,25,9,25,1,-15,68.648,63.647999999999996,4,20,5
100,16,32,12,-4,-12,64,4,-8,64,128,256,20,24,12,8,32.284,16.284,4,8,16
101,36,108,24,-12,-14,324,12,-2,120,360,400,26,38,14,2,91.02,71.02,6,18,20
102,4,24,14,-10,-11,144,10,-1,26,156,169,15,25,11,1,32.62,19.619999999999997,2,12,13
103,81,171,28,-10,-2,361,10,8,99,209,121,20,30,2,-8,105.324,94.324,9,19,11
104,64,152,27,-11,6,361,11,17,16,38,4,10,21,-6,-17,86.856,84.856,8,19,2
105,4,6,5,-1,-13,9,1,-12,30,45,225,17,18,13,12,16.912,1.911999999999999,2,3,15
106,25,35,12,-2,1,49,2,3,20,28,16,9,11,-1,-3,12.824,8.824,5,7,4
107,16,36,13,-5,-12,81,5,-7,64,144,256,20,25,12,7,36.586,20.586,4,9,16
108,49,133,26,-12,-5,361,12,7,84,228,144,19,31,5,-7,95.188,83.188,7,19,12
109,81,162,27,-9,9,324,9,18,0,0,0,9,18,-9,-18,81.128,81.128,9,18,0
110,100,190,29,-9,10,361,9,19,0,0,0,10,19,-10,-19,92.022,92.022,10,19,0
111,4,16,10,-6,-12,64,6,-6,28,112,196,16,22,12,6,25.14,11.14,2,8,14
112,1,15,16,-14,-6,225,14,8,7,105,49,8,22,6,-8,20.952,13.952000000000002,1,15,7
113,196,266,33,-5,6,361,5,11,112,152,64,22,27,-6,-11,77.736,69.736,14,19,8
114,4,8,6,-2,0,16,2,2,4,8,4,4,6,0,-2,6.224,4.224,2,4,2
115,225,270,33,-3,1,324,3,4,210,252,196,29,32,-1,-4,59.12,45.12,15,18,14
116,4,32,18,-14,-7,256,14,7,18,144,81,11,25,7,-7,37.236,28.235999999999997,2,16,9
117,1,2,3,-1,-4,4,1,-3,5,10,25,6,7,4,3,6.0,1.0,1,2,5
118,49,84,19,-5,2,144,5,7,35,60,25,12,17,-2,-7,38.168,33.168,7,12,5
119,289,306,35,-1,0,324,1,1,289,306,289,34,35,0,-1,35.516,18.516,17,18,17
