,((p*n)*(p*n)),((p*n)*n),((p*n)*x),((p*n)+n),((p*n)+x),((p*n)-n),((p*n)-x),(1+p),(1-p),(n*n),(n*x),(n+x),(n-(p*n)),(n-x),(p*n),(x*x),(x-(p*n)),(x-n),expected_post,n,p,post-init,x
400,0.86,0.93,4.65,1.93,5.93,-0.07,-4.07,1.93,0.07,1,5,6,0.07,-4,0.93,25,4.07,4,5.916,1,0.93,0.9160000000000004,5
401,13.69,37.0,66.6,13.7,21.7,-6.3,-14.3,1.37,0.63,100,180,28,6.3,-8,3.7,324,14.3,8,38.312,10,0.37,20.311999999999998,18
402,2.02,2.84,4.26,3.42,4.42,-0.58,-1.58,1.71,0.29,4,6,5,0.58,-1,1.42,9,1.58,1,5.14,2,0.71,2.1399999999999997,3
403,6.05,7.38,14.76,5.46,8.46,-0.54,-3.54,1.82,0.18,9,18,9,0.54,-3,2.46,36,3.54,3,10.884,3,0.82,4.884,6
404,19.45,39.69,44.1,13.41,14.41,-4.59,-5.59,1.49,0.51,81,90,19,4.59,-1,4.41,100,5.59,1,32.184,9,0.49,22.183999999999997,10
405,1.85,23.12,19.04,18.36,15.36,-15.64,-12.64,1.08,0.92,289,238,31,15.64,3,1.36,196,12.64,-3,26.252,17,0.08,12.251999999999999,14
406,0.32,1.71,0.57,3.57,1.57,-2.43,-0.43,1.19,0.81,9,3,4,2.43,2,0.57,1,0.43,-2,2.14,3,0.19,1.1400000000000001,1
407,32.49,57.0,17.1,15.7,8.7,-4.3,2.7,1.57,0.43,100,30,13,4.3,7,5.7,9,-2.7,-7,33.522,10,0.57,30.522,3
408,55.35,89.28,133.92,19.44,25.44,-4.56,-10.56,1.62,0.38,144,216,30,4.56,-6,7.44,324,10.56,6,66.504,12,0.62,48.504000000000005,18
409,2.25,15.0,6.0,11.5,5.5,-8.5,-2.5,1.15,0.85,100,40,14,8.5,6,1.5,16,2.5,-6,12.368,10,0.15,8.368,4
410,0.27,2.08,2.6,4.52,5.52,-3.48,-4.48,1.13,0.87,16,20,9,3.48,-1,0.52,25,4.48,1,6.318,4,0.13,1.3179999999999996,5
411,22.56,23.75,19.0,9.75,8.75,-0.25,0.75,1.95,0.05,25,20,9,0.25,1,4.75,16,-0.75,-1,18.268,5,0.95,14.268,4
412,0.81,13.5,11.7,15.9,13.9,-14.1,-12.1,1.06,0.94,225,195,28,14.1,2,0.9,169,12.1,-2,19.76,15,0.06,6.760000000000002,13
413,158.76,176.4,151.2,26.6,24.6,-1.4,0.6,1.9,0.1,196,168,26,1.4,2,12.6,144,-0.6,-2,106.768,14,0.9,94.768,12
414,73.96,86.0,25.8,18.6,11.6,-1.4,5.6,1.86,0.14,100,30,13,1.4,7,8.6,9,-5.6,-7,50.67,10,0.86,47.67,3
415,0.52,1.44,2.88,2.72,4.72,-1.28,-3.28,1.36,0.64,4,8,6,1.28,-2,0.72,16,3.28,2,5.09,2,0.36,1.0899999999999999,4
416,17.64,58.8,0.0,18.2,4.2,-9.8,4.2,1.3,0.7,196,0,14,9.8,14,4.2,0,-4.2,-14,30.734,14,0.3,30.734,0
417,13.25,47.32,65.52,16.64,21.64,-9.36,-14.36,1.28,0.72,169,234,31,9.36,-5,3.64,324,14.36,5,42.868,13,0.28,24.868000000000002,18
418,15.68,47.52,79.2,15.96,23.96,-8.04,-16.04,1.33,0.67,144,240,32,8.04,-8,3.96,400,16.04,8,46.128,12,0.33,26.128,20
419,201.64,284.0,284.0,34.2,34.2,-5.8,-5.8,1.71,0.29,400,400,40,5.8,0,14.2,400,5.8,0,169.37,20,0.71,149.37,20
420,81.36,99.22,36.08,20.02,13.02,-1.98,5.02,1.82,0.18,121,44,15,1.98,7,9.02,16,-5.02,-7,57.494,11,0.82,53.494,4
421,7.08,18.62,39.9,9.66,17.66,-4.34,-12.34,1.38,0.62,49,105,22,4.34,-8,2.66,225,12.34,8,25.74,7,0.38,10.739999999999998,15
422,36.0,90.0,66.0,21.0,17.0,-9.0,-5.0,1.4,0.6,225,165,26,9.0,4,6.0,121,5.0,-4,58.294,15,0.4,47.294,11
423,86.68,176.89,158.27,28.31,26.31,-9.69,-7.69,1.49,0.51,361,323,36,9.69,2,9.31,289,7.69,-2,111.12,19,0.49,94.12,17
424,32.72,74.36,17.16,18.72,8.72,-7.28,2.72,1.44,0.56,169,39,16,7.28,10,5.72,9,-2.72,-10,42.838,13,0.44,39.838,3
425,108.16,166.4,166.4,26.4,26.4,-5.6,-5.6,1.65,0.35,256,256,32,5.6,0,10.4,256,5.6,0,103.19,16,0.65,87.19,16
426,1.42,20.23,4.76,18.19,5.19,-15.81,-2.81,1.07,0.93,289,68,21,15.81,13,1.19,16,2.81,-13,14.484,17,0.07,10.484,4
427,0.85,3.68,0.0,4.92,0.92,-3.08,0.92,1.23,0.77,16,0,4,3.08,4,0.92,0,-0.92,-4,2.37,4,0.23,2.37,0
428,7.13,8.01,48.06,5.67,20.67,-0.33,-15.33,1.89,0.11,9,54,21,0.33,-15,2.67,324,15.33,15,23.252,3,0.89,5.251999999999999,18
429,249.96,268.77,94.86,32.81,21.81,-1.19,9.81,1.93,0.07,289,102,23,1.19,11,15.81,36,-9.81,-11,148.644,17,0.93,142.644,6
430,5.76,36.0,16.8,17.4,9.4,-12.6,-4.6,1.16,0.84,225,105,22,12.6,8,2.4,49,4.6,-8,25.41,15,0.16,18.41,7
431,149.82,208.08,12.24,29.24,13.24,-4.76,11.24,1.72,0.28,289,17,18,4.76,16,12.24,1,-11.24,-16,111.098,17,0.72,110.098,1
432,98.41,158.72,128.96,25.92,22.92,-6.08,-3.08,1.62,0.38,256,208,29,6.08,3,9.92,169,3.08,-3,98.04,16,0.62,85.04,13
433,62.73,87.12,71.28,18.92,16.92,-3.08,-1.08,1.72,0.28,121,99,20,3.08,2,7.92,81,1.08,-2,56.222,11,0.72,47.222,9
434,255.36,271.66,0.0,32.98,15.98,-1.02,15.98,1.94,0.06,289,0,17,1.02,17,15.98,0,-15.98,-17,144.344,17,0.94,144.344,0
435,0.62,0.79,7.9,1.79,10.79,-0.21,-9.21,1.79,0.21,1,10,11,0.21,-9,0.79,100,9.21,9,10.79,1,0.79,0.7899999999999991,10
436,31.47,95.37,95.37,22.61,22.61,-11.39,-11.39,1.33,0.67,289,289,34,11.39,0,5.61,289,11.39,0,66.25,17,0.33,49.25,17
437,24.5,74.25,94.05,19.95,23.95,-10.05,-14.05,1.33,0.67,225,285,34,10.05,-4,4.95,361,14.05,4,59.148,15,0.33,40.148,19
438,20.07,35.84,31.36,12.48,11.48,-3.52,-2.52,1.56,0.44,64,56,15,3.52,1,4.48,49,2.52,-1,27.232,8,0.56,20.232,7
439,26.01,51.0,81.6,15.1,21.1,-4.9,-10.9,1.51,0.49,100,160,26,4.9,-6,5.1,256,10.9,6,43.748,10,0.51,27.747999999999998,16
440,7.56,30.25,49.5,13.75,20.75,-8.25,-15.25,1.25,0.75,121,198,29,8.25,-7,2.75,324,15.25,7,34.9,11,0.25,16.9,18
441,80.28,143.36,62.72,24.96,15.96,-7.04,1.96,1.56,0.44,256,112,23,7.04,9,8.96,49,-1.96,-9,84.164,16,0.56,77.164,7
442,17.64,84.0,29.4,24.2,11.2,-15.8,-2.8,1.21,0.79,400,140,27,15.8,13,4.2,49,2.8,-13,50.462,20,0.21,43.462,7
443,21.34,50.82,13.86,15.62,7.62,-6.38,1.62,1.42,0.58,121,33,14,6.38,8,4.62,9,-1.62,-8,31.076,11,0.42,28.076,3
444,17.06,28.91,4.13,11.13,5.13,-2.87,3.13,1.59,0.41,49,7,8,2.87,6,4.13,1,-3.13,-6,17.424,7,0.59,16.424,1
445,93.9,184.11,155.04,28.69,25.69,-9.31,-6.31,1.51,0.49,361,304,35,9.31,3,9.69,256,6.31,-3,113.33,19,0.51,97.33,16
446,42.25,65.0,104.0,16.5,22.5,-3.5,-9.5,1.65,0.35,100,160,26,3.5,-6,6.5,256,9.5,6,51.774,10,0.65,35.774,16
447,3.24,21.6,18.0,13.8,11.8,-10.2,-8.2,1.15,0.85,144,120,22,10.2,2,1.8,100,8.2,-2,22.148,12,0.15,12.148,10
448,0.52,1.44,0.72,2.72,1.72,-1.28,-0.28,1.36,0.64,4,2,3,1.28,1,0.72,1,0.28,-1,2.188,2,0.36,1.1880000000000002,1
449,6.35,15.12,10.08,8.52,6.52,-3.48,-1.48,1.42,0.58,36,24,10,3.48,2,2.52,16,1.48,-2,12.792,6,0.42,8.792,4
450,190.44,276.0,69.0,33.8,18.8,-6.2,8.8,1.69,0.31,400,100,25,6.2,15,13.8,25,-8.8,-15,149.576,20,0.69,144.576,5
451,18.23,29.89,59.78,11.27,18.27,-2.73,-9.73,1.61,0.39,49,98,21,2.73,-7,4.27,196,9.73,7,30.954,7,0.61,16.954,14
452,8.82,26.73,17.82,11.97,8.97,-6.03,-3.03,1.33,0.67,81,54,15,6.03,3,2.97,36,3.03,-3,20.98,9,0.33,14.98,6
453,0.72,4.25,4.25,5.85,5.85,-4.15,-4.15,1.17,0.83,25,25,10,4.15,0,0.85,25,4.15,0,7.378,5,0.17,2.378,5
454,163.84,256.0,204.8,32.8,28.8,-7.2,-3.2,1.64,0.36,400,320,36,7.2,4,12.8,256,3.2,-4,150.502,20,0.64,134.502,16
455,0.29,4.86,9.72,9.54,18.54,-8.46,-17.46,1.06,0.94,81,162,27,8.46,-9,0.54,324,17.46,9,20.892,9,0.06,2.8919999999999995,18
456,0.24,0.49,9.31,1.49,19.49,-0.51,-18.51,1.49,0.51,1,19,20,0.51,-18,0.49,361,18.51,18,19.526,1,0.49,0.5259999999999998,19
457,40.96,128.0,96.0,26.4,21.4,-13.6,-8.6,1.32,0.68,400,300,35,13.6,5,6.4,225,8.6,-5,82.166,20,0.32,67.166,15
458,93.9,164.73,9.69,26.69,10.69,-7.31,8.69,1.57,0.43,289,17,18,7.31,16,9.69,1,-8.69,-16,88.324,17,0.57,87.324,1
459,23.43,53.24,87.12,15.84,22.84,-6.16,-13.16,1.44,0.56,121,198,29,6.16,-7,4.84,324,13.16,7,47.586,11,0.44,29.586,18
460,7.62,11.04,5.52,6.76,4.76,-1.24,0.76,1.69,0.31,16,8,6,1.24,2,2.76,4,-0.76,-2,8.966,4,0.69,6.965999999999999,2
461,0.23,1.44,6.72,3.48,14.48,-2.52,-13.52,1.16,0.84,9,42,17,2.52,-11,0.48,196,13.52,11,14.916,3,0.16,0.9160000000000004,14
462,3.1,14.08,31.68,9.76,19.76,-6.24,-16.24,1.22,0.78,64,144,26,6.24,-10,1.76,324,16.24,10,25.938,8,0.22,7.937999999999999,18
463,22.56,23.75,42.75,9.75,13.75,-0.25,-4.25,1.95,0.05,25,45,14,0.25,-4,4.75,81,4.25,4,23.398,5,0.95,14.398,9
464,30.47,44.16,27.6,13.52,10.52,-2.48,0.52,1.69,0.31,64,40,13,2.48,3,5.52,25,-0.52,-3,30.004,8,0.69,25.004,5
465,4.04,6.03,4.02,5.01,4.01,-0.99,0.01,1.67,0.33,9,6,5,0.99,1,2.01,4,-0.01,-1,6.12,3,0.67,4.12,2
466,9.06,21.07,57.19,10.01,22.01,-3.99,-15.99,1.43,0.57,49,133,26,3.99,-12,3.01,361,15.99,12,31.568,7,0.43,12.568000000000001,19
467,27.88,63.36,47.52,17.28,14.28,-6.72,-3.72,1.44,0.56,144,108,21,6.72,3,5.28,81,3.72,-3,43.016,12,0.44,34.016,9
468,0.48,2.07,12.42,3.69,18.69,-2.31,-17.31,1.23,0.77,9,54,21,2.31,-15,0.69,324,17.31,15,19.356,3,0.23,1.3560000000000016,18
0,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9926666666666667,1,0.99,0.9926666666666667,0
1,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.5946666666667,25,0.99,321.5946666666667,0
2,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,322.14733333333334,25,0.99,322.14733333333334,0
3,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.89866666666666,25,0.9899999999984233,321.89866666666666,9
4,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.526,25,0.99,321.526,9
5,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9906666666666667,1,0.99,0.9906666666666667,0
6,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.59133333333335,25,0.99,321.59133333333335,9
7,220.52,222.75,0.0,29.85,14.85,-0.15,14.85,1.99,0.01,225,0,15,0.15,15,14.85,0,-14.85,-15,118.778,15,0.99,118.778,0
8,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.814,25,0.99,321.814,9
9,612.56,618.75,618.75,49.75,49.75,-0.25,-0.25,1.99,0.01,625,625,50,0.25,0,24.75,625,0.25,0,346.44466666666665,25,0.99,321.44466666666665,25
10,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.27866666666665,25,0.99,321.27866666666665,0
11,220.52,222.75,0.0,29.85,14.85,-0.15,14.85,1.99,0.01,225,0,15,0.15,15,14.85,0,-14.85,-15,118.858,15,0.99,118.858,0
12,115.04,268.14,96.53,35.73,19.73,-14.27,1.73,1.43,0.57,625,225,34,14.27,16,10.73,81,-1.73,-16,149.02133333333333,25,0.4290294279645835,140.02133333333333,9
13,0.01,1.0,2.5,10.1,25.1,-9.9,-24.9,1.01,0.99,100,250,35,9.9,-15,0.1,625,24.9,15,25.531333333333333,10,0.010000000275379495,0.5313333333333325,25
14,0.06,6.25,2.25,25.25,9.25,-24.75,-8.75,1.01,0.99,625,225,34,24.75,16,0.25,81,8.75,-16,12.371333333333334,25,0.01,3.371333333333334,9
15,0.06,6.25,6.25,25.25,25.25,-24.75,-24.75,1.01,0.99,625,625,50,24.75,0,0.25,625,24.75,0,27.8,25,0.01,2.8000000000000007,25
16,0.0,0.01,0.0,1.01,0.01,-0.99,0.01,1.01,0.99,1,0,1,0.99,1,0.01,0,-0.01,-1,0.010666666666666666,1,0.01,0.010666666666666666,0
17,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9933333333333333,1,0.99,0.9933333333333333,0
18,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9893333333333333,1,0.99,0.9893333333333333,0
19,3.92,3.96,0.0,3.98,1.98,-0.02,1.98,1.99,0.01,4,0,2,0.02,2,1.98,0,-1.98,-2,2.972,2,0.99,2.972,0
20,612.56,618.75,544.5,49.75,46.75,-0.25,2.75,1.99,0.01,625,550,47,0.25,3,24.75,484,-2.75,-3,343.874,25,0.99,321.874,22
21,35.28,35.64,0.0,11.94,5.94,-0.06,5.94,1.99,0.01,36,0,6,0.06,6,5.94,0,-5.94,-6,20.776666666666667,6,0.99,20.776666666666667,0
22,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.8833333333333,25,0.99,321.8833333333333,0
23,48.02,48.51,41.58,13.93,12.93,-0.07,0.93,1.99,0.01,49,42,13,0.07,1,6.93,36,-0.93,-1,33.724,7,0.99,27.723999999999997,6
24,48.02,48.51,0.0,13.93,6.93,-0.07,6.93,1.99,0.01,49,0,7,0.07,7,6.93,0,-6.93,-7,27.735333333333333,7,0.99,27.735333333333333,0
25,0.0,0.01,0.0,1.01,0.01,-0.99,0.01,1.01,0.99,1,0,1,0.99,1,0.01,0,-0.01,-1,0.007333333333333333,1,0.01,0.007333333333333333,0
26,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.8666666666667,25,0.989999995710804,321.8666666666667,0
27,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9873333333333333,1,0.99,0.9873333333333333,0
28,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,322.05333333333334,25,0.99,322.05333333333334,0
29,0.98,0.99,24.75,1.99,25.99,-0.01,-24.01,1.99,0.01,1,25,26,0.01,-24,0.99,625,24.01,24,25.993333333333332,1,0.99,0.9933333333333323,25
30,0.0,0.04,0.0,2.02,0.02,-1.98,0.02,1.01,0.99,4,0,2,1.98,2,0.02,0,-0.02,-2,0.02666666666666667,2,0.01,0.02666666666666667,0
31,0.98,0.99,24.75,1.99,25.99,-0.01,-24.01,1.99,0.01,1,25,26,0.01,-24,0.99,625,24.01,24,25.984666666666666,1,0.99,0.9846666666666657,25
32,0.06,6.25,0.0,25.25,0.25,-24.75,0.25,1.01,0.99,625,0,25,24.75,25,0.25,0,-0.25,-25,3.582,25,0.01,3.582,0
33,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9926666666666667,1,0.99,0.9926666666666667,0
34,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.5946666666667,25,0.99,321.5946666666667,0
35,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,322.14733333333334,25,0.99,322.14733333333334,0
36,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.89866666666666,25,0.9899999999984233,321.89866666666666,9
37,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.526,25,0.99,321.526,9
38,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9906666666666667,1,0.99,0.9906666666666667,0
39,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.59133333333335,25,0.99,321.59133333333335,9
40,220.52,222.75,0.0,29.85,14.85,-0.15,14.85,1.99,0.01,225,0,15,0.15,15,14.85,0,-14.85,-15,118.778,15,0.99,118.778,0
41,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.814,25,0.99,321.814,9
42,612.56,618.75,618.75,49.75,49.75,-0.25,-0.25,1.99,0.01,625,625,50,0.25,0,24.75,625,0.25,0,346.44466666666665,25,0.99,321.44466666666665,25
43,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.27866666666665,25,0.99,321.27866666666665,0
44,220.52,222.75,0.0,29.85,14.85,-0.15,14.85,1.99,0.01,225,0,15,0.15,15,14.85,0,-14.85,-15,118.858,15,0.99,118.858,0
45,115.04,268.14,96.53,35.73,19.73,-14.27,1.73,1.43,0.57,625,225,34,14.27,16,10.73,81,-1.73,-16,149.02133333333333,25,0.4290294279645835,140.02133333333333,9
46,0.01,1.0,2.5,10.1,25.1,-9.9,-24.9,1.01,0.99,100,250,35,9.9,-15,0.1,625,24.9,15,25.531333333333333,10,0.010000000275379495,0.5313333333333325,25
47,0.06,6.25,2.25,25.25,9.25,-24.75,-8.75,1.01,0.99,625,225,34,24.75,16,0.25,81,8.75,-16,12.371333333333334,25,0.01,3.371333333333334,9
48,0.06,6.25,6.25,25.25,25.25,-24.75,-24.75,1.01,0.99,625,625,50,24.75,0,0.25,625,24.75,0,27.8,25,0.01,2.8000000000000007,25
49,0.0,0.01,0.0,1.01,0.01,-0.99,0.01,1.01,0.99,1,0,1,0.99,1,0.01,0,-0.01,-1,0.010666666666666666,1,0.01,0.010666666666666666,0
50,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9933333333333333,1,0.99,0.9933333333333333,0
51,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9893333333333333,1,0.99,0.9893333333333333,0
52,3.92,3.96,0.0,3.98,1.98,-0.02,1.98,1.99,0.01,4,0,2,0.02,2,1.98,0,-1.98,-2,2.972,2,0.99,2.972,0
53,612.56,618.75,544.5,49.75,46.75,-0.25,2.75,1.99,0.01,625,550,47,0.25,3,24.75,484,-2.75,-3,343.874,25,0.99,321.874,22
54,35.28,35.64,0.0,11.94,5.94,-0.06,5.94,1.99,0.01,36,0,6,0.06,6,5.94,0,-5.94,-6,20.776666666666667,6,0.99,20.776666666666667,0
55,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.8833333333333,25,0.99,321.8833333333333,0
56,48.02,48.51,41.58,13.93,12.93,-0.07,0.93,1.99,0.01,49,42,13,0.07,1,6.93,36,-0.93,-1,33.724,7,0.99,27.723999999999997,6
57,48.02,48.51,0.0,13.93,6.93,-0.07,6.93,1.99,0.01,49,0,7,0.07,7,6.93,0,-6.93,-7,27.735333333333333,7,0.99,27.735333333333333,0
58,0.0,0.01,0.0,1.01,0.01,-0.99,0.01,1.01,0.99,1,0,1,0.99,1,0.01,0,-0.01,-1,0.007333333333333333,1,0.01,0.007333333333333333,0
59,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.8666666666667,25,0.989999995710804,321.8666666666667,0
60,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9873333333333333,1,0.99,0.9873333333333333,0
61,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,322.05333333333334,25,0.99,322.05333333333334,0
62,0.98,0.99,24.75,1.99,25.99,-0.01,-24.01,1.99,0.01,1,25,26,0.01,-24,0.99,625,24.01,24,25.993333333333332,1,0.99,0.9933333333333323,25
63,0.0,0.04,0.0,2.02,0.02,-1.98,0.02,1.01,0.99,4,0,2,1.98,2,0.02,0,-0.02,-2,0.02666666666666667,2,0.01,0.02666666666666667,0
64,0.98,0.99,24.75,1.99,25.99,-0.01,-24.01,1.99,0.01,1,25,26,0.01,-24,0.99,625,24.01,24,25.984666666666666,1,0.99,0.9846666666666657,25
65,0.06,6.25,0.0,25.25,0.25,-24.75,0.25,1.01,0.99,625,0,25,24.75,25,0.25,0,-0.25,-25,3.582,25,0.01,3.582,0
66,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9926666666666667,1,0.99,0.9926666666666667,0
67,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.5946666666667,25,0.99,321.5946666666667,0
68,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,322.14733333333334,25,0.99,322.14733333333334,0
69,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.89866666666666,25,0.9899999999984233,321.89866666666666,9
70,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.526,25,0.99,321.526,9
71,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9906666666666667,1,0.99,0.9906666666666667,0
72,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.59133333333335,25,0.99,321.59133333333335,9
73,220.52,222.75,0.0,29.85,14.85,-0.15,14.85,1.99,0.01,225,0,15,0.15,15,14.85,0,-14.85,-15,118.778,15,0.99,118.778,0
74,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.814,25,0.99,321.814,9
75,612.56,618.75,618.75,49.75,49.75,-0.25,-0.25,1.99,0.01,625,625,50,0.25,0,24.75,625,0.25,0,346.44466666666665,25,0.99,321.44466666666665,25
76,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.27866666666665,25,0.99,321.27866666666665,0
77,220.52,222.75,0.0,29.85,14.85,-0.15,14.85,1.99,0.01,225,0,15,0.15,15,14.85,0,-14.85,-15,118.858,15,0.99,118.858,0
78,115.04,268.14,96.53,35.73,19.73,-14.27,1.73,1.43,0.57,625,225,34,14.27,16,10.73,81,-1.73,-16,149.02133333333333,25,0.4290294279645835,140.02133333333333,9
79,0.01,1.0,2.5,10.1,25.1,-9.9,-24.9,1.01,0.99,100,250,35,9.9,-15,0.1,625,24.9,15,25.531333333333333,10,0.010000000275379495,0.5313333333333325,25
80,0.06,6.25,2.25,25.25,9.25,-24.75,-8.75,1.01,0.99,625,225,34,24.75,16,0.25,81,8.75,-16,12.371333333333334,25,0.01,3.371333333333334,9
81,0.06,6.25,6.25,25.25,25.25,-24.75,-24.75,1.01,0.99,625,625,50,24.75,0,0.25,625,24.75,0,27.8,25,0.01,2.8000000000000007,25
82,0.0,0.01,0.0,1.01,0.01,-0.99,0.01,1.01,0.99,1,0,1,0.99,1,0.01,0,-0.01,-1,0.010666666666666666,1,0.01,0.010666666666666666,0
83,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9933333333333333,1,0.99,0.9933333333333333,0
84,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9893333333333333,1,0.99,0.9893333333333333,0
85,3.92,3.96,0.0,3.98,1.98,-0.02,1.98,1.99,0.01,4,0,2,0.02,2,1.98,0,-1.98,-2,2.972,2,0.99,2.972,0
86,612.56,618.75,544.5,49.75,46.75,-0.25,2.75,1.99,0.01,625,550,47,0.25,3,24.75,484,-2.75,-3,343.874,25,0.99,321.874,22
87,35.28,35.64,0.0,11.94,5.94,-0.06,5.94,1.99,0.01,36,0,6,0.06,6,5.94,0,-5.94,-6,20.776666666666667,6,0.99,20.776666666666667,0
88,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.8833333333333,25,0.99,321.8833333333333,0
89,48.02,48.51,41.58,13.93,12.93,-0.07,0.93,1.99,0.01,49,42,13,0.07,1,6.93,36,-0.93,-1,33.724,7,0.99,27.723999999999997,6
90,48.02,48.51,0.0,13.93,6.93,-0.07,6.93,1.99,0.01,49,0,7,0.07,7,6.93,0,-6.93,-7,27.735333333333333,7,0.99,27.735333333333333,0
91,0.0,0.01,0.0,1.01,0.01,-0.99,0.01,1.01,0.99,1,0,1,0.99,1,0.01,0,-0.01,-1,0.007333333333333333,1,0.01,0.007333333333333333,0
