,(1+p),(1-p),(x*x),(x*y),(x+y),(x-y),(y*y),(y-x),expected_post,p,post-init,x,y
197,1.17,0.83,0,0,0,0,0,0,0.486,0.17,0.486,0,0
198,1.23,0.77,0,0,0,0,0,0,0.516,0.23,0.516,0,0
199,1.09,0.91,1,1,2,0,1,0,0.502,0.09,-0.498,1,1
200,1.73,0.27,1,1,2,0,1,0,0.516,0.73,-0.484,1,1
201,1.58,0.42,1,1,2,0,1,0,0.504,0.58,-0.496,1,1
202,1.34,0.66,1,1,2,0,1,0,0.462,0.34,-0.538,1,1
203,1.3,0.7,1,1,2,0,1,0,0.508,0.3,-0.492,1,1
204,1.87,0.13,0,0,0,0,0,0,0.504,0.87,0.504,0,0
205,1.7,0.3,0,0,0,0,0,0,0.474,0.7,0.474,0,0
206,1.35,0.65,0,0,0,0,0,0,0.512,0.35,0.512,0,0
207,1.55,0.45,0,0,0,0,0,0,0.518,0.55,0.518,0,0
208,1.31,0.69,1,1,2,0,1,0,0.486,0.31,-0.514,1,1
209,1.49,0.51,0,0,0,0,0,0,0.502,0.49,0.502,0,0
210,1.49,0.51,1,1,2,0,1,0,0.524,0.49,-0.476,1,1
211,1.76,0.24,0,0,0,0,0,0,0.49,0.76,0.49,0,0
212,1.22,0.78,1,1,2,0,1,0,0.49,0.22,-0.51,1,1
213,1.6,0.4,0,0,0,0,0,0,0.51,0.6,0.51,0,0
214,1.38,0.62,0,0,0,0,0,0,0.508,0.38,0.508,0,0
215,1.68,0.32,0,0,0,0,0,0,0.462,0.68,0.462,0,0
216,1.08,0.92,1,1,2,0,1,0,0.486,0.08,-0.514,1,1
217,1.23,0.77,1,1,2,0,1,0,0.498,0.23,-0.502,1,1
218,1.16,0.84,0,0,0,0,0,0,0.494,0.16,0.494,0,0
219,1.31,0.69,0,0,0,0,0,0,0.474,0.31,0.474,0,0
220,1.57,0.43,0,0,0,0,0,0,0.488,0.57,0.488,0,0
221,1.48,0.52,1,1,2,0,1,0,0.518,0.48,-0.482,1,1
222,1.67,0.33,0,0,0,0,0,0,0.516,0.67,0.516,0,0
223,1.76,0.24,0,0,0,0,0,0,0.502,0.76,0.502,0,0
224,1.11,0.89,0,0,0,0,0,0,0.522,0.11,0.522,0,0
225,1.57,0.43,0,0,0,0,0,0,0.49,0.57,0.49,0,0
226,1.07,0.93,0,0,0,0,0,0,0.494,0.07,0.494,0,0
227,1.24,0.76,1,1,2,0,1,0,0.444,0.24,-0.556,1,1
228,1.07,0.93,0,0,0,0,0,0,0.482,0.07,0.482,0,0
229,1.61,0.39,1,1,2,0,1,0,0.5,0.61,-0.5,1,1
230,1.62,0.38,1,1,2,0,1,0,0.52,0.62,-0.48,1,1
231,1.43,0.57,1,1,2,0,1,0,0.466,0.43,-0.534,1,1
232,1.14,0.86,0,0,0,0,0,0,0.49,0.14,0.49,0,0
233,1.28,0.72,1,1,2,0,1,0,0.448,0.28,-0.552,1,1
234,1.92,0.08,0,0,0,0,0,0,0.516,0.92,0.516,0,0
235,1.24,0.76,1,1,2,0,1,0,0.508,0.24,-0.492,1,1
