,(x*x),(x*y),(x+y),(x-y),(x-z),(y*y),(y-x),(y-z),(z*x),(z*y),(z*z),(z+x),(z+y),(z-x),(z-y),expected_post,post-init,x,y,z
62,4,34,19,-15,-2,289,15,13,8,68,16,6,21,2,-13,40.18,36.18,2,17,4
63,225,240,31,-1,3,256,1,4,180,192,144,27,28,-3,-4,27.804,15.803999999999998,15,16,12
64,4,10,7,-3,-2,25,3,1,8,20,16,6,9,2,-1,10.132,6.132,2,5,4
65,64,72,17,-1,0,81,1,1,64,72,64,16,17,0,-1,16.65,8.649999999999999,8,9,8
66,9,54,21,-15,-3,324,15,12,18,108,36,9,24,3,-12,44.968,38.968,3,18,6
67,144,180,27,-3,12,225,3,15,0,0,0,12,15,-12,-15,36.064,36.064,12,15,0
68,4,10,7,-3,-4,25,3,-1,12,30,36,8,11,4,1,11.734,5.734,2,5,6
69,196,238,31,-3,-4,289,3,-1,252,306,324,32,35,4,1,61.542,43.542,14,17,18
70,169,208,29,-3,4,256,3,7,117,144,81,22,25,-4,-7,47.424,38.424,13,16,9
71,16,76,23,-15,-11,361,15,4,60,285,225,19,34,11,-4,85.204,70.204,4,19,15
72,64,120,23,-7,-12,225,7,-5,160,300,400,28,35,12,5,76.604,56.604,8,15,20
73,36,48,14,-2,2,64,2,4,24,32,16,10,12,-2,-4,15.076,11.076,6,8,4
74,1,11,12,-10,-12,121,10,-2,13,143,169,14,24,12,2,24.422,11.422,1,11,13
75,121,154,25,-3,-7,196,3,-4,198,252,324,29,32,7,4,51.376,33.376,11,14,18
76,4,20,12,-8,-18,100,8,-10,40,200,400,22,30,18,10,36.116,16.116,2,10,20
77,81,117,22,-4,-10,169,4,-6,171,247,361,28,32,10,6,52.938,33.938,9,13,19
78,64,152,27,-11,-10,361,11,1,144,342,324,26,37,10,-1,108.98,90.98,8,19,18
79,16,20,9,-1,-6,25,1,-5,40,50,100,14,15,6,5,13.842,3.8420000000000005,4,5,10
80,25,50,15,-5,-12,100,5,-7,85,170,289,22,27,12,7,42.764,25.764000000000003,5,10,17
81,36,96,22,-10,5,256,10,15,6,16,1,7,17,-5,-15,58.956,57.956,6,16,1
82,64,80,18,-2,-12,100,2,-10,160,200,400,28,30,12,10,36.64,16.64,8,10,20
83,4,26,15,-11,-8,169,11,3,20,130,100,12,23,8,-3,32.274,22.274,2,13,10
84,16,40,14,-6,-9,100,6,-3,52,130,169,17,23,9,3,37.696,24.695999999999998,4,10,13
85,36,84,20,-8,-1,196,8,7,42,98,49,13,21,1,-7,51.4,44.4,6,14,7
86,25,70,19,-9,-5,196,9,4,50,140,100,15,24,5,-4,54.792,44.792,5,14,10
87,169,221,30,-4,-6,289,4,-2,247,323,361,32,36,6,2,72.018,53.018,13,17,19
88,36,120,26,-14,-12,400,14,2,108,360,324,24,38,12,-2,102.4,84.4,6,20,18
89,49,112,23,-9,-11,256,9,-2,126,288,324,25,34,11,2,80.896,62.896,7,16,18
90,169,221,30,-4,4,289,4,8,117,153,81,22,26,-4,-8,57.652,48.652,13,17,9
91,4,28,16,-12,-7,196,12,5,18,126,81,11,23,7,-5,31.688,22.688,2,14,9
92,49,140,27,-13,6,400,13,19,7,20,1,8,21,-6,-19,92.176,91.176,7,20,1
93,49,126,25,-11,0,324,11,11,49,126,49,14,25,0,-11,79.876,72.876,7,18,7
94,36,60,16,-4,-11,100,4,-7,102,170,289,23,27,11,7,41.028,24.028,6,10,17
95,4,36,20,-16,-1,324,16,15,6,54,9,5,21,1,-15,37.644,34.644,2,18,3
96,144,156,25,-1,6,169,1,7,72,78,36,18,19,-6,-7,17.686,11.686,12,13,6
97,49,77,18,-4,-6,121,4,-2,91,143,169,20,24,6,2,39.688,26.688000000000002,7,11,13
98,81,108,21,-3,6,144,3,9,27,36,9,12,15,-6,-9,27.88,24.88,9,12,3
99,1,12,13,-11,1,144,11,12,0,0,0,1,12,-1,-12,10.072,10.072,1,12,0
100,25,45,14,-4,3,81,4,7,10,18,4,7,11,-3,-7,21.136,19.136,5,9,2
101,64,152,27,-11,0,361,11,11,64,152,64,16,27,0,-11,97.314,89.314,8,19,8
102,16,64,20,-12,1,256,12,13,12,48,9,7,19,-1,-13,51.324,48.324,4,16,3
103,256,320,36,-4,-3,400,4,1,304,380,361,35,39,3,-1,81.1,62.099999999999994,16,20,19
104,9,45,18,-12,-10,225,12,2,39,195,169,16,28,10,-2,50.576,37.576,3,15,13
105,16,20,9,-1,-9,25,1,-8,52,65,169,17,18,9,8,17.486,4.486000000000001,4,5,13
106,36,90,21,-9,2,225,9,11,24,60,16,10,19,-2,-11,53.802,49.802,6,15,4
107,9,27,12,-6,-5,81,6,1,24,72,64,11,17,5,-1,25.776,17.776,3,9,8
108,121,165,26,-4,-2,225,4,2,143,195,169,24,28,2,-2,55.2,42.2,11,15,13
109,16,24,10,-2,-3,36,2,-1,28,42,49,11,13,3,1,15.284,8.284,4,6,7
110,16,32,12,-4,1,64,4,5,12,24,9,7,11,-1,-5,17.588,14.588000000000001,4,8,3
111,256,320,36,-4,6,400,4,10,160,200,100,26,30,-6,-10,80.356,70.356,16,20,10
112,1,3,4,-2,-11,9,2,-9,12,36,144,13,15,11,9,13.968,1.968,1,3,12
113,4,20,12,-8,-13,100,8,-5,30,150,225,17,25,13,5,30.612,15.611999999999998,2,10,15
114,36,84,20,-8,2,196,8,10,24,56,16,10,18,-2,-10,51.34,47.34,6,14,4
115,121,154,25,-3,1,196,3,4,110,140,100,21,24,-1,-4,42.6,32.6,11,14,10
116,1,8,9,-7,-15,64,7,-8,16,128,256,17,24,15,8,22.756,6.756,1,8,16
117,4,12,8,-4,-15,36,4,-11,34,102,289,19,23,15,11,25.368,8.367999999999999,2,6,17
118,196,224,30,-2,-4,256,2,-2,252,288,324,32,34,4,2,45.544,27.543999999999997,14,16,18
119,9,12,7,-1,-7,16,1,-6,30,40,100,13,14,7,6,13.312,3.3119999999999994,3,4,10
120,9,48,19,-13,0,256,13,13,9,48,9,6,19,0,-13,38.516,35.516,3,16,3
121,225,255,32,-2,-2,289,2,0,255,289,289,32,34,2,0,48.82,31.82,15,17,17
122,4,20,12,-8,-4,100,8,4,12,60,36,8,16,4,-4,21.636,15.636,2,10,6
123,49,133,26,-12,-13,361,12,-1,140,380,400,27,39,13,1,100.328,80.328,7,19,20
124,16,40,14,-6,-14,100,6,-8,72,180,324,22,28,14,8,41.44,23.439999999999998,4,10,18
125,4,14,9,-5,-5,49,5,0,14,49,49,9,14,5,0,17.478,10.478000000000002,2,7,7
126,81,99,20,-2,-1,121,2,1,90,110,100,19,21,1,-1,28.5,18.5,9,11,10
127,49,140,27,-13,-10,400,13,3,119,340,289,24,37,10,-3,112.696,95.696,7,20,17
128,9,30,13,-7,2,100,7,9,3,10,1,4,11,-2,-9,21.432,20.432,3,10,1
129,16,24,10,-2,3,36,2,5,4,6,1,5,7,-3,-5,9.348,8.348,4,6,1
130,4,24,14,-10,-14,144,10,-4,32,192,256,18,28,14,4,37.268,21.268,2,12,16
131,1,7,8,-6,-10,49,6,-4,11,77,121,12,18,10,4,16.026,5.026,1,7,11
132,324,342,37,-1,4,361,1,5,252,266,196,32,33,-4,-5,33.366,19.366,18,19,14
133,36,66,17,-5,-3,121,5,2,54,99,81,15,20,3,-2,40.16,31.159999999999997,6,11,9
134,64,112,22,-6,-12,196,6,-6,160,280,400,28,34,12,6,67.36,47.36,8,14,20
135,4,6,5,-1,1,9,1,2,2,3,1,3,4,-1,-2,2.946,1.9460000000000002,2,3,1
136,256,320,36,-4,16,400,4,20,0,0,0,16,20,-16,-20,57.832,57.832,16,20,0
137,36,54,15,-3,-6,81,3,-3,72,108,144,18,21,6,3,29.112,17.112,6,9,12
138,36,108,24,-12,-10,324,12,2,96,288,256,22,34,10,-2,94.644,78.644,6,18,16
139,81,117,22,-4,-2,169,4,2,99,143,121,20,24,2,-2,47.354,36.354,9,13,11
140,100,150,25,-5,8,225,5,13,20,30,4,12,17,-8,-13,52.146,50.146,10,15,2
141,81,90,19,-1,4,100,1,5,45,50,25,14,15,-4,-5,14.26,9.26,9,10,5
142,169,234,31,-5,10,324,5,15,39,54,9,16,21,-10,-15,66.268,63.268,13,18,3
143,9,48,19,-13,-13,256,13,0,48,256,256,19,32,13,0,54.912,38.912,3,16,16
144,121,154,25,-3,-2,196,3,1,143,182,169,24,27,2,-1,44.824,31.823999999999998,11,14,13
145,9,24,11,-5,-10,64,5,-5,39,104,169,16,21,10,5,28.248,15.248000000000001,3,8,13
146,64,128,24,-8,-6,256,8,2,112,224,196,22,30,6,-2,73.404,59.403999999999996,8,16,14
147,1,12,13,-11,-13,144,11,-2,14,168,196,15,26,13,2,24.968,10.968,1,12,14
148,36,96,22,-10,-6,256,10,4,72,192,144,18,28,6,-4,71.308,59.30800000000001,6,16,12
149,9,33,14,-8,-8,121,8,0,33,121,121,14,22,8,0,35.562,24.561999999999998,3,11,11
150,25,70,19,-9,-6,196,9,3,55,154,121,16,25,6,-3,56.216,45.216,5,14,11
151,361,380,39,-1,2,400,1,3,323,340,289,36,37,-2,-3,40.176,23.176000000000002,19,20,17
152,9,54,21,-15,-8,324,15,7,33,198,121,14,29,8,-7,56.86,45.86,3,18,11
