,((p1+p2)-p1*p2),(1+p1),(1+p2),(1-p1),(1-p2),(c1*c1),(c1*c2),(c1+c2),(c1-c2),(c2*c2),(c2-c1),(count*count),(p1*p2),(p1+p2),c1,c2,count,expected_post,p1,p2,post-init
43,0.97,1.92,1.67,0.08,0.33,0,0,0,0,0,0,100,0.62,1.59,0,0,10,11.644,0.92,0.67,1.6440000000000001
44,0.81,1.52,1.6,0.48,0.4,0,0,0,0,0,0,1,0.31,1.12,0,0,1,2.416,0.52,0.6,1.416
45,0.91,1.87,1.34,0.13,0.66,0,0,0,0,0,0,81,0.3,1.21,0,0,9,10.302,0.87,0.34,1.3019999999999996
46,0.51,1.46,1.09,0.54,0.91,0,0,0,0,0,0,1,0.04,0.55,0,0,1,2.084,0.46,0.09,1.084
47,0.4,1.05,1.37,0.95,0.63,0,0,0,0,0,0,121,0.02,0.42,0,0,11,12.026,0.05,0.37,1.0259999999999998
48,0.74,1.31,1.62,0.69,0.38,0,0,0,0,0,0,1,0.19,0.93,0,0,1,2.24,0.31,0.62,1.2400000000000002
49,0.67,1.42,1.43,0.58,0.57,0,0,0,0,0,0,225,0.18,0.85,0,0,15,16.276,0.42,0.43,1.2759999999999998
50,0.53,1.1,1.48,0.9,0.52,0,0,0,0,0,0,100,0.05,0.58,0,0,10,11.082,0.1,0.48,1.0820000000000007
51,0.93,1.9,1.29,0.1,0.71,0,0,0,0,0,0,16,0.26,1.19,0,0,4,5.246,0.9,0.29,1.2460000000000004
52,0.59,1.49,1.19,0.51,0.81,0,0,0,0,0,0,25,0.09,0.68,0,0,5,6.168,0.49,0.19,1.1680000000000001
53,0.43,1.18,1.31,0.82,0.69,0,0,0,0,0,0,196,0.06,0.49,0,0,14,15.132,0.18,0.31,1.1319999999999997
54,0.94,1.64,1.84,0.36,0.16,0,0,0,0,0,0,16,0.54,1.48,0,0,4,5.528,0.64,0.84,1.5279999999999996
55,0.81,1.06,1.8,0.94,0.2,0,0,0,0,0,0,400,0.05,0.86,0,0,20,21.048,0.06,0.8,1.0479999999999983
56,0.71,1.09,1.68,0.91,0.32,0,0,0,0,0,0,49,0.06,0.77,0,0,7,8.094,0.09,0.68,1.0939999999999994
57,0.46,1.17,1.35,0.83,0.65,0,0,0,0,0,0,81,0.06,0.52,0,0,9,10.112,0.17,0.35,1.112
58,0.92,1.88,1.32,0.12,0.68,0,0,0,0,0,0,121,0.28,1.2,0,0,11,12.324,0.88,0.32,1.3239999999999998
59,0.84,1.13,1.82,0.87,0.18,0,0,0,0,0,0,225,0.11,0.95,0,0,15,16.128,0.13,0.82,1.1280000000000001
60,0.88,1.39,1.81,0.61,0.19,0,0,0,0,0,0,400,0.32,1.2,0,0,20,21.348,0.39,0.81,1.347999999999999
61,0.89,1.5,1.77,0.5,0.23,0,0,0,0,0,0,49,0.39,1.27,0,0,7,8.456,0.5,0.77,1.4559999999999995
62,0.97,1.91,1.66,0.09,0.34,0,0,0,0,0,0,64,0.6,1.57,0,0,8,9.62,0.91,0.66,1.6199999999999992
63,0.93,1.43,1.87,0.57,0.13,0,0,0,0,0,0,169,0.37,1.3,0,0,13,14.356,0.43,0.87,1.3559999999999999
64,0.92,1.47,1.85,0.53,0.15,0,0,0,0,0,0,1,0.4,1.32,0,0,1,2.446,0.47,0.85,1.4460000000000002
65,0.28,1.13,1.17,0.87,0.83,0,0,0,0,0,0,4,0.02,0.3,0,0,2,3.078,0.13,0.17,1.0779999999999998
66,0.84,1.16,1.81,0.84,0.19,0,0,0,0,0,0,324,0.13,0.97,0,0,18,19.156,0.16,0.81,1.1559999999999988
67,0.85,1.4,1.75,0.6,0.25,0,0,0,0,0,0,289,0.3,1.15,0,0,17,18.35,0.4,0.75,1.3500000000000014
68,0.84,1.4,1.73,0.6,0.27,0,0,0,0,0,0,0,0.29,1.13,0,0,0,1.328,0.4,0.73,1.328
69,0.51,1.12,1.44,0.88,0.56,0,0,0,0,0,0,16,0.05,0.56,0,0,4,5.128,0.12,0.44,1.1280000000000001
70,0.84,1.77,1.29,0.23,0.71,0,0,0,0,0,0,36,0.22,1.06,0,0,6,7.268,0.77,0.29,1.2679999999999998
71,0.71,1.58,1.3,0.42,0.7,0,0,0,0,0,0,64,0.17,0.88,0,0,8,9.244,0.58,0.3,1.2439999999999998
72,0.9,1.09,1.89,0.91,0.11,0,0,0,0,0,0,144,0.08,0.98,0,0,12,13.082,0.09,0.89,1.0820000000000007
73,0.91,1.63,1.77,0.37,0.23,0,0,0,0,0,0,144,0.49,1.4,0,0,12,13.534,0.63,0.77,1.5340000000000007
74,0.6,1.08,1.57,0.92,0.43,0,0,0,0,0,0,4,0.05,0.65,0,0,2,3.088,0.08,0.57,1.088
75,0.81,1.72,1.31,0.28,0.69,0,0,0,0,0,0,9,0.22,1.03,0,0,3,4.272,0.72,0.31,1.2720000000000002
76,0.38,1.13,1.29,0.87,0.71,0,0,0,0,0,0,81,0.04,0.42,0,0,9,10.092,0.13,0.29,1.0920000000000005
77,0.77,1.28,1.68,0.72,0.32,0,0,0,0,0,0,225,0.19,0.96,0,0,15,16.278,0.28,0.68,1.2779999999999987
78,0.92,1.6,1.8,0.4,0.2,0,0,0,0,0,0,16,0.48,1.4,0,0,4,5.538,0.6,0.8,1.5380000000000003
79,0.93,1.91,1.21,0.09,0.79,0,0,0,0,0,0,289,0.19,1.12,0,0,17,18.194,0.91,0.21,1.193999999999999
80,0.79,1.77,1.1,0.23,0.9,0,0,0,0,0,0,324,0.08,0.87,0,0,18,19.094,0.77,0.1,1.0940000000000012
81,0.94,1.52,1.88,0.48,0.12,0,0,0,0,0,0,324,0.46,1.4,0,0,18,19.51,0.52,0.88,1.5100000000000016
82,0.99,1.93,1.85,0.07,0.15,0,0,0,0,0,0,0,0.79,1.78,0,0,0,1.83,0.93,0.85,1.83
83,0.55,1.37,1.29,0.63,0.71,0,0,0,0,0,0,144,0.11,0.66,0,0,12,13.196,0.37,0.29,1.1959999999999997
84,0.89,1.88,1.08,0.12,0.92,0,0,0,0,0,0,289,0.07,0.96,0,0,17,18.08,0.88,0.08,1.0799999999999983
85,0.96,1.89,1.61,0.11,0.39,0,0,0,0,0,0,81,0.54,1.5,0,0,9,10.564,0.89,0.61,1.564
86,0.61,1.45,1.29,0.55,0.71,0,0,0,0,0,0,324,0.13,0.74,0,0,18,19.226,0.45,0.29,1.225999999999999
87,0.32,1.19,1.16,0.81,0.84,0,0,0,0,0,0,64,0.03,0.35,0,0,8,9.084,0.19,0.16,1.0839999999999996
88,0.83,1.25,1.77,0.75,0.23,0,0,0,0,0,0,49,0.19,1.02,0,0,7,8.218,0.25,0.77,1.218
89,0.89,1.44,1.81,0.56,0.19,0,0,0,0,0,0,9,0.36,1.25,0,0,3,4.414,0.44,0.81,1.4139999999999997
90,0.23,1.12,1.12,0.88,0.88,0,0,0,0,0,0,1,0.01,0.24,0,0,1,2.052,0.12,0.12,1.052
91,0.68,1.08,1.65,0.92,0.35,0,0,0,0,0,0,1,0.05,0.73,0,0,1,2.08,0.08,0.65,1.08
92,0.91,1.88,1.24,0.12,0.76,0,0,0,0,0,0,64,0.21,1.12,0,0,8,9.25,0.88,0.24,1.25
93,0.83,1.41,1.72,0.59,0.28,0,0,0,0,0,0,36,0.3,1.13,0,0,6,7.334,0.41,0.72,1.3339999999999996
94,0.94,1.92,1.23,0.08,0.77,0,0,0,0,0,0,64,0.21,1.15,0,0,8,9.162,0.92,0.23,1.1620000000000008
95,0.31,1.06,1.27,0.94,0.73,0,0,0,0,0,0,289,0.02,0.33,0,0,17,18.062,0.06,0.27,1.0620000000000012
96,0.89,1.37,1.83,0.63,0.17,0,0,0,0,0,0,169,0.31,1.2,0,0,13,14.344,0.37,0.83,1.3439999999999994
97,0.88,1.38,1.81,0.62,0.19,0,0,0,0,0,0,144,0.31,1.19,0,0,12,13.368,0.38,0.81,1.3680000000000003
98,0.57,1.15,1.49,0.85,0.51,0,0,0,0,0,0,196,0.07,0.64,0,0,14,15.15,0.15,0.49,1.1500000000000004
99,0.76,1.34,1.63,0.66,0.37,0,0,0,0,0,0,1,0.21,0.97,0,0,1,2.28,0.34,0.63,1.2799999999999998
100,0.74,1.65,1.27,0.35,0.73,0,0,0,0,0,0,225,0.18,0.92,0,0,15,16.24,0.65,0.27,1.2399999999999984
101,0.88,1.76,1.51,0.24,0.49,0,0,0,0,0,0,25,0.39,1.27,0,0,5,6.408,0.76,0.51,1.4080000000000004
102,0.95,1.94,1.17,0.06,0.83,0,0,0,0,0,0,144,0.16,1.11,0,0,12,13.17,0.94,0.17,1.17
103,0.88,1.8,1.41,0.2,0.59,0,0,0,0,0,0,49,0.33,1.21,0,0,7,8.342,0.8,0.41,1.3420000000000005
104,0.86,1.74,1.46,0.26,0.54,0,0,0,0,0,0,64,0.34,1.2,0,0,8,9.368,0.74,0.46,1.3680000000000003
105,0.89,1.83,1.37,0.17,0.63,0,0,0,0,0,0,289,0.31,1.2,0,0,17,18.34,0.83,0.37,1.3399999999999999
106,0.83,1.42,1.71,0.58,0.29,0,0,0,0,0,0,121,0.3,1.13,0,0,11,12.354,0.42,0.71,1.3539999999999992
107,0.94,1.47,1.88,0.53,0.12,0,0,0,0,0,0,9,0.41,1.35,0,0,3,4.44,0.47,0.88,1.4400000000000004
108,0.83,1.74,1.34,0.26,0.66,0,0,0,0,0,0,81,0.25,1.08,0,0,9,10.31,0.74,0.34,1.3100000000000005
109,0.95,1.56,1.88,0.44,0.12,0,0,0,0,0,0,324,0.49,1.44,0,0,18,19.548,0.56,0.88,1.5479999999999983
110,0.69,1.4,1.48,0.6,0.52,0,0,0,0,0,0,400,0.19,0.88,0,0,20,21.308,0.4,0.48,1.3079999999999998
111,0.39,1.26,1.17,0.74,0.83,0,0,0,0,0,0,81,0.04,0.43,0,0,9,10.126,0.26,0.17,1.1259999999999994
112,0.87,1.45,1.76,0.55,0.24,0,0,0,0,0,0,0,0.34,1.21,0,0,0,1.404,0.45,0.76,1.404
113,0.73,1.62,1.3,0.38,0.7,0,0,0,0,0,0,25,0.19,0.92,0,0,5,6.292,0.62,0.3,1.2919999999999998
114,0.81,1.19,1.77,0.81,0.23,0,0,0,0,0,0,324,0.15,0.96,0,0,18,19.14,0.19,0.77,1.1400000000000006
115,0.58,1.36,1.35,0.64,0.65,0,0,0,0,0,0,289,0.13,0.71,0,0,17,18.228,0.36,0.35,1.2280000000000015
116,0.93,1.44,1.87,0.56,0.13,0,0,0,0,0,0,36,0.38,1.31,0,0,6,7.404,0.44,0.87,1.404
