,(1+p),(1-p),(n*n),(n*p*n),(n*p*n*p),(n*p*x),(n*p*y),(n*p+n),(n*p+x),(n*p+y),(n*p-n),(n*p-x),(n*p-y),(n*x),(n*y),(n+x),(n+y),(n-n*p),(n-x),(n-y),(x*x),(x*y),(x+y),(x-n),(x-n*p),(x-y),(y*y),(y-n),(y-n*p),(y-x),expected_post,n,n*p,p,post-init,x,y
372,1.58,0.42,225,130.5,75.69,113.1,113.1,23.7,21.7,21.7,-6.3,-4.3,-4.3,195,195,28,28,6.3,2,2,169,169,26,-2,4.3,0,169,-2,4.3,0,164.512,15,8.7,0.58,151.512,13,13
373,1.54,0.46,361,194.94,105.27,82.08,112.86,29.26,18.26,21.26,-8.74,2.26,-0.74,152,209,27,30,8.74,11,8,64,88,19,-11,-2.26,-3,121,-8,0.74,3,207.212,19,10.26,0.54,199.212,8,11
374,1.77,0.23,121,93.17,71.74,93.17,143.99,19.47,19.47,25.47,-2.53,-2.53,-8.53,121,187,22,28,2.53,0,-6,121,187,28,0,2.53,-6,289,6,8.53,6,104.92,11,8.47,0.77,93.92,11,17
375,1.08,0.92,256,20.48,1.64,17.92,8.96,17.28,15.28,8.28,-14.72,-12.72,-5.72,224,112,30,23,14.72,2,9,196,98,21,-2,12.72,7,49,-9,5.72,-7,127.73,16,1.28,0.08,113.73,14,7
376,1.34,0.66,225,76.5,26.01,10.2,96.9,20.1,7.1,24.1,-9.9,3.1,-13.9,30,285,17,34,9.9,13,-4,4,38,21,-13,-3.1,-17,361,4,13.9,17,233.056,15,5.1,0.34,231.056,2,19
377,1.16,0.84,324,51.84,8.29,34.56,48.96,20.88,14.88,19.88,-15.12,-9.12,-14.12,216,306,30,35,15.12,6,1,144,204,29,-6,9.12,-5,289,-1,14.12,5,296.652,18,2.88,0.16,284.652,12,17
378,1.93,0.07,1,0.93,0.86,2.79,13.02,1.93,3.93,14.93,-0.07,-2.07,-13.07,3,14,4,15,0.07,-2,-13,9,42,17,2,2.07,-11,196,13,13.07,11,5.04,1,0.93,0.93,2.04,3,14
379,1.43,0.57,36,15.48,6.66,30.96,25.8,8.58,14.58,12.58,-3.42,-9.42,-7.42,72,60,18,16,3.42,-6,-4,144,120,22,6,9.42,2,100,4,7.42,-2,55.31,6,2.58,0.43,43.31,12,10
380,1.28,0.72,64,17.92,5.02,42.56,11.2,10.24,21.24,7.24,-5.76,-16.76,-2.76,152,40,27,13,5.76,-11,3,361,95,24,11,16.76,14,25,-3,2.76,-14,57.78,8,2.24,0.28,38.78,19,5
381,1.73,0.27,25,18.25,13.32,0.0,69.35,8.65,3.65,22.65,-1.35,3.65,-15.35,0,95,5,24,1.35,5,-14,0,0,19,-5,-3.65,-19,361,14,15.35,19,36.962,5,3.65,0.73,36.962,0,19
382,1.75,0.25,400,300.0,225.0,45.0,165.0,35.0,18.0,26.0,-5.0,12.0,4.0,60,220,23,31,5.0,17,9,9,33,14,-17,-12.0,-8,121,-9,-4.0,8,215.364,20,15.0,0.75,212.364,3,11
383,1.93,0.07,169,157.17,146.17,108.81,132.99,25.09,21.09,23.09,-0.91,3.09,1.09,117,143,22,24,0.91,4,2,81,99,20,-4,-3.09,-2,121,-2,-1.09,2,103.806,13,12.09,0.93,94.806,9,11
384,1.26,0.74,81,21.06,5.48,37.44,42.12,11.34,18.34,20.34,-6.66,-13.66,-15.66,144,162,25,27,6.66,-7,-9,256,288,34,7,13.66,-2,324,9,15.66,2,148.288,9,2.34,0.26,132.288,16,18
385,1.34,0.66,4,1.36,0.46,1.36,8.84,2.68,2.68,13.68,-1.32,-1.32,-12.32,4,26,4,15,1.32,0,-11,4,26,15,0,1.32,-11,169,11,12.32,11,20.636,2,0.68,0.34,18.636,2,13
386,1.57,0.43,16,9.12,5.2,13.68,13.68,6.28,8.28,8.28,-1.72,-3.72,-3.72,24,24,10,10,1.72,-2,-2,36,36,12,2,3.72,0,36,2,3.72,0,21.898,4,2.28,0.57,15.898,6,6
387,1.74,0.26,144,106.56,78.85,71.04,53.28,20.88,16.88,14.88,-3.12,0.88,2.88,96,72,20,18,3.12,4,6,64,48,14,-4,-0.88,2,36,-6,-2.88,-2,84.698,12,8.88,0.74,76.698,8,6
388,1.15,0.85,361,54.15,8.12,5.7,11.4,21.85,4.85,6.85,-16.15,0.85,-1.15,38,76,21,23,16.15,17,15,4,8,6,-17,-0.85,-2,16,-15,1.15,2,94.828,19,2.85,0.15,92.828,2,4
389,1.75,0.25,64,48.0,36.0,48.0,84.0,14.0,14.0,20.0,-2.0,-2.0,-8.0,64,112,16,22,2.0,0,-6,64,112,22,0,2.0,-6,196,6,8.0,6,63.662,8,6.0,0.75,55.662,8,14
390,1.51,0.49,16,8.16,4.16,4.08,32.64,6.04,4.04,18.04,-1.96,0.04,-13.96,8,64,6,20,1.96,2,-12,4,32,18,-2,-0.04,-14,256,12,13.96,14,38.508,4,2.04,0.51,36.508,2,16
391,1.3,0.7,64,19.2,5.76,36.0,12.0,10.4,17.4,7.4,-5.6,-12.6,-2.6,120,40,23,13,5.6,-7,3,225,75,20,7,12.6,10,25,-3,2.6,-10,53.77,8,2.4,0.3,38.77,15,5
392,1.22,0.78,81,17.82,3.92,29.7,23.76,10.98,16.98,13.98,-7.02,-13.02,-10.02,135,108,24,21,7.02,-6,-3,225,180,27,6,13.02,3,144,3,10.02,-3,108.586,9,1.98,0.22,93.586,15,12
393,1.51,0.49,9,4.59,2.34,0.0,21.42,4.53,1.53,15.53,-1.47,1.53,-12.47,0,42,3,17,1.47,3,-11,0,0,14,-3,-1.53,-14,196,11,12.47,14,23.51,3,1.53,0.51,23.51,0,14
394,1.37,0.63,225,83.25,30.8,27.75,27.75,20.55,10.55,10.55,-9.45,0.55,0.55,75,75,20,20,9.45,10,10,25,25,10,-10,-0.55,0,25,-10,-0.55,0,96.538,15,5.55,0.37,91.538,5,5
395,1.33,0.67,49,16.17,5.34,27.72,27.72,9.31,14.31,14.31,-4.69,-9.69,-9.69,84,84,19,19,4.69,-5,-5,144,144,24,5,9.69,0,144,5,9.69,0,77.36,7,2.31,0.33,65.36,12,12
396,1.87,0.13,36,31.32,27.25,0.0,31.32,11.22,5.22,11.22,-0.78,5.22,-0.78,0,36,6,12,0.78,6,0,0,0,6,-6,-5.22,-6,36,0,0.78,6,22.934,6,5.22,0.87,22.934,0,6
397,1.75,0.25,400,300.0,225.0,225.0,90.0,35.0,30.0,21.0,-5.0,0.0,9.0,300,120,35,26,5.0,5,14,225,90,21,-5,0.0,9,36,-14,-9.0,-9,202.102,20,15.0,0.75,187.102,15,6
398,1.24,0.76,81,19.44,4.67,32.4,21.6,11.16,17.16,12.16,-6.84,-12.84,-7.84,135,90,24,19,6.84,-6,-1,225,150,25,6,12.84,5,100,1,7.84,-5,94.132,9,2.16,0.24,79.132,15,10
399,1.81,0.19,16,12.96,10.5,9.72,51.84,7.24,6.24,19.24,-0.76,0.24,-12.76,12,64,7,20,0.76,1,-12,9,48,19,-1,-0.24,-13,256,12,12.76,13,23.194,4,3.24,0.81,20.194,3,16
400,1.74,0.26,36,26.64,19.71,31.08,35.52,10.44,11.44,12.44,-1.56,-2.56,-3.56,42,48,13,14,1.56,-1,-2,49,56,15,1,2.56,-1,64,2,3.56,1,34.746,6,4.44,0.74,27.746000000000002,7,8
401,1.8,0.2,121,96.8,77.44,123.2,44.0,19.8,22.8,13.8,-2.2,-5.2,3.8,154,55,25,16,2.2,-3,6,196,70,19,3,5.2,9,25,-6,-3.8,-9,78.2,11,8.8,0.8,64.2,14,5
402,1.24,0.76,361,86.64,20.79,50.16,13.68,23.56,15.56,7.56,-14.44,-6.44,1.56,209,57,30,22,14.44,8,16,121,33,14,-8,6.44,8,9,-16,-1.56,-8,100.488,19,4.56,0.24,89.488,11,3
403,1.79,0.21,25,19.75,15.6,59.25,71.1,8.95,18.95,21.95,-1.05,-11.05,-14.05,75,90,20,23,1.05,-10,-13,225,270,33,10,11.05,-3,324,13,14.05,3,45.816,5,3.95,0.79,30.816000000000003,15,18
404,1.7,0.3,4,2.8,1.96,26.6,11.2,3.4,20.4,9.4,-0.6,-17.6,-6.6,38,16,21,10,0.6,-17,-6,361,152,27,17,17.6,11,64,6,6.6,-11,25.72,2,1.4,0.7,6.719999999999999,19,8
405,1.89,0.11,1,0.89,0.79,15.13,5.34,1.89,17.89,6.89,-0.11,-16.11,-5.11,17,6,18,7,0.11,-16,-5,289,102,23,16,16.11,11,36,5,5.11,-11,18.4,1,0.89,0.89,1.3999999999999986,17,6
406,1.82,0.18,49,40.18,32.95,57.4,114.8,12.74,15.74,25.74,-1.26,-4.26,-14.26,70,140,17,27,1.26,-3,-13,100,200,30,3,4.26,-10,400,13,14.26,10,56.77,7,5.74,0.82,46.77,10,20
407,1.8,0.2,25,20.0,16.0,40.0,40.0,9.0,14.0,14.0,-1.0,-6.0,-6.0,50,50,15,15,1.0,-5,-5,100,100,20,5,6.0,0,100,5,6.0,0,31.62,5,4.0,0.8,21.62,10,10
408,1.16,0.84,100,16.0,2.56,22.4,12.8,11.6,15.6,9.6,-8.4,-12.4,-6.4,140,80,24,18,8.4,-4,2,196,112,22,4,12.4,6,64,-2,6.4,-6,90.068,10,1.6,0.16,76.068,14,8
409,1.3,0.7,256,76.8,23.04,72.0,57.6,20.8,19.8,16.8,-11.2,-10.2,-7.2,240,192,31,28,11.2,1,4,225,180,27,-1,10.2,3,144,-4,7.2,-3,190.372,16,4.8,0.3,175.372,15,12
410,1.61,0.39,121,73.81,45.02,120.78,80.52,17.71,24.71,18.71,-4.29,-11.29,-5.29,198,132,29,23,4.29,-7,-1,324,216,30,7,11.29,6,144,1,5.29,-6,109.874,11,6.71,0.61,91.874,18,12
411,1.76,0.24,36,27.36,20.79,41.04,0.0,10.56,13.56,4.56,-1.44,-4.44,4.56,54,0,15,6,1.44,-3,6,81,0,9,3,4.44,9,0,-6,-4.56,-9,25.098,6,4.56,0.76,16.098,9,0
412,1.37,0.63,64,23.68,8.76,47.36,0.0,10.96,18.96,2.96,-5.04,-13.04,2.96,128,0,24,8,5.04,-8,8,256,0,16,8,13.04,16,0,-8,-2.96,-16,28.966,8,2.96,0.37,12.966000000000001,16,0
413,1.56,0.44,100,56.0,31.36,5.6,16.8,15.6,6.6,8.6,-4.4,4.6,2.6,10,30,11,13,4.4,9,7,1,3,4,-9,-4.6,-2,9,-7,-2.6,2,45.17,10,5.6,0.56,44.17,1,3
414,1.7,0.3,1,0.7,0.49,11.9,2.8,1.7,17.7,4.7,-0.3,-16.3,-3.3,17,4,18,5,0.3,-16,-3,289,68,21,16,16.3,13,16,3,3.3,-13,18.996,1,0.7,0.7,1.9959999999999987,17,4
415,1.77,0.23,9,6.93,5.34,0.0,41.58,5.31,2.31,20.31,-0.69,2.31,-15.69,0,54,3,21,0.69,3,-15,0,0,18,-3,-2.31,-18,324,15,15.69,18,17.314,3,2.31,0.77,17.314,0,18
416,1.2,0.8,225,45.0,9.0,9.0,3.0,18.0,6.0,4.0,-12.0,0.0,2.0,45,15,18,16,12.0,12,14,9,3,4,-12,0.0,2,1,-14,-2.0,-2,39.29,15,3.0,0.2,36.29,3,1
417,1.29,0.71,64,18.56,5.38,2.32,41.76,10.32,3.32,20.32,-5.68,1.32,-15.68,8,144,9,26,5.68,7,-10,1,18,19,-7,-1.32,-17,324,10,15.68,17,113.738,8,2.32,0.29,112.738,1,18
418,1.08,0.92,121,9.68,0.77,6.16,3.52,11.88,7.88,4.88,-10.12,-6.12,-3.12,77,44,18,15,10.12,4,7,49,28,11,-4,6.12,3,16,-7,3.12,-3,52.832,11,0.88,0.08,45.832,7,4
419,1.05,0.95,4,0.2,0.01,1.5,0.4,2.1,15.1,4.1,-1.9,-14.9,-3.9,30,8,17,6,1.9,-13,-2,225,60,19,13,14.9,11,16,2,3.9,-11,22.706,2,0.1,0.05,7.7059999999999995,15,4
420,1.38,0.62,169,64.22,24.4,49.4,9.88,17.94,14.94,6.94,-8.06,-5.06,2.94,130,26,23,15,8.06,3,11,100,20,12,-3,5.06,8,4,-11,-2.94,-8,60.366,13,4.94,0.38,50.366,10,2
421,1.45,0.55,196,88.2,39.69,69.3,6.3,20.3,17.3,7.3,-7.7,-4.7,5.3,154,14,25,15,7.7,3,13,121,11,12,-3,4.7,10,1,-13,-5.3,-10,66.646,14,6.3,0.45,55.646,11,1
422,1.85,0.15,196,166.6,141.61,11.9,142.8,25.9,12.9,23.9,-2.1,10.9,-0.1,14,168,15,26,2.1,13,2,1,12,13,-13,-10.9,-11,144,-2,0.1,11,115.956,14,11.9,0.85,114.956,1,12
423,1.33,0.67,144,47.52,15.68,19.8,27.72,15.96,8.96,10.96,-8.04,-1.04,-3.04,60,84,17,19,8.04,7,5,25,35,12,-7,1.04,-2,49,-5,3.04,2,87.082,12,3.96,0.33,82.082,5,7
424,1.12,0.88,25,3.0,0.36,6.6,4.2,5.6,11.6,7.6,-4.4,-10.4,-6.4,55,35,16,12,4.4,-6,-2,121,77,18,6,10.4,4,49,2,6.4,-4,43.668,5,0.6,0.12,32.668,11,7
425,1.84,0.16,256,215.04,180.63,174.72,67.2,29.44,26.44,18.44,-2.56,0.44,8.44,208,80,29,21,2.56,3,11,169,65,18,-3,-0.44,8,25,-11,-8.44,-8,139.986,16,13.44,0.84,126.98599999999999,13,5
426,1.41,0.59,49,20.09,8.24,22.96,48.79,9.87,10.87,19.87,-4.13,-5.13,-14.13,56,119,15,24,4.13,-1,-10,64,136,25,1,5.13,-9,289,10,14.13,9,89.274,7,2.87,0.41,81.274,8,17
427,1.43,0.57,9,3.87,1.66,24.51,24.51,4.29,20.29,20.29,-1.71,-17.71,-17.71,57,57,22,22,1.71,-16,-16,361,361,38,16,17.71,0,361,16,17.71,0,54.328,3,1.29,0.43,35.328,19,19
428,1.12,0.88,64,7.68,0.92,13.44,11.52,8.96,14.96,12.96,-7.04,-13.04,-11.04,112,96,22,20,7.04,-6,-4,196,168,26,6,13.04,2,144,4,11.04,-2,102.196,8,0.96,0.12,88.196,14,12
429,1.82,0.18,324,265.68,217.86,206.64,103.32,32.76,28.76,21.76,-3.24,0.76,7.76,252,126,32,25,3.24,4,11,196,98,21,-4,-0.76,7,49,-11,-7.76,-7,176.6,18,14.76,0.82,162.6,14,7
430,1.5,0.5,256,128.0,64.0,40.0,16.0,24.0,13.0,10.0,-8.0,3.0,6.0,80,32,21,18,8.0,11,14,25,10,7,-11,-3.0,3,4,-14,-6.0,-3,89.334,16,8.0,0.5,84.334,5,2
431,1.81,0.19,49,39.69,32.15,11.34,56.7,12.67,7.67,15.67,-1.33,3.67,-4.33,14,70,9,17,1.33,5,-3,4,20,12,-5,-3.67,-8,100,3,4.33,8,37.748,7,5.67,0.81,35.748,2,10
432,1.82,0.18,256,209.92,172.13,262.4,144.32,29.12,33.12,24.12,-2.88,-6.88,2.12,320,176,36,27,2.88,-4,5,400,220,31,4,6.88,9,121,-5,-2.12,-9,163.406,16,13.12,0.82,143.406,20,11
433,1.13,0.87,196,25.48,3.31,27.3,32.76,15.82,16.82,19.82,-12.18,-13.18,-16.18,210,252,29,32,12.18,-1,-4,225,270,33,1,13.18,-3,324,4,16.18,3,246.246,14,1.82,0.13,231.246,15,18
434,1.78,0.22,25,19.5,15.21,74.1,3.9,8.9,22.9,4.9,-1.1,-15.1,2.9,95,5,24,6,1.1,-14,4,361,19,20,14,15.1,18,1,-4,-2.9,-18,31.736,5,3.9,0.78,12.736,19,1
435,1.08,0.92,4,0.32,0.03,2.08,1.28,2.16,13.16,8.16,-1.84,-12.84,-7.84,26,16,15,10,1.84,-11,-6,169,104,21,11,12.84,5,64,6,7.84,-5,28.104,2,0.16,0.08,15.104,13,8
436,1.57,0.43,256,145.92,83.17,164.16,164.16,25.12,27.12,27.12,-6.88,-8.88,-8.88,288,288,34,34,6.88,-2,-2,324,324,36,2,8.88,0,324,2,8.88,0,219.52,16,9.12,0.57,201.52,18,18
437,1.19,0.81,49,9.31,1.77,1.33,9.31,8.33,2.33,8.33,-5.67,0.33,-5.67,7,49,8,14,5.67,6,0,1,7,8,-6,-0.33,-6,49,0,5.67,6,46.012,7,1.33,0.19,45.012,1,7
438,1.42,0.58,64,26.88,11.29,10.08,43.68,11.36,6.36,16.36,-4.64,0.36,-9.64,24,104,11,21,4.64,5,-5,9,39,16,-5,-0.36,-10,169,5,9.64,10,79.052,8,3.36,0.42,76.052,3,13
439,1.45,0.55,289,130.05,58.52,153.0,137.7,24.65,27.65,25.65,-9.35,-12.35,-10.35,340,306,37,35,9.35,-3,-1,400,360,38,3,12.35,2,324,1,10.35,-2,257.502,17,7.65,0.45,237.502,20,18
440,1.48,0.52,361,173.28,83.17,145.92,0.0,28.12,25.12,9.12,-9.88,-6.88,9.12,304,0,35,19,9.88,3,19,256,0,16,-3,6.88,16,0,-19,-9.12,-16,107.594,19,9.12,0.48,91.594,16,0
441,1.86,0.14,324,278.64,239.63,201.24,154.8,33.48,28.48,25.48,-2.52,2.48,5.48,234,180,31,28,2.52,5,8,169,130,23,-5,-2.48,3,100,-8,-5.48,-3,184.868,18,15.48,0.86,171.868,13,10
442,1.79,0.21,289,228.31,180.36,40.29,53.72,30.43,16.43,17.43,-3.57,10.43,9.43,51,68,20,21,3.57,14,13,9,12,7,-14,-10.43,-1,16,-13,-9.43,1,138.256,17,13.43,0.79,135.256,3,4
443,1.68,0.32,100,68.0,46.24,115.6,34.0,16.8,23.8,11.8,-3.2,-10.2,1.8,170,50,27,15,3.2,-7,5,289,85,22,7,10.2,12,25,-5,-1.8,-12,70.344,10,6.8,0.68,53.343999999999994,17,5
444,1.38,0.62,16,6.08,2.31,28.88,24.32,5.52,20.52,17.52,-2.48,-17.48,-14.48,76,64,23,20,2.48,-15,-12,361,304,35,15,17.48,3,256,12,14.48,-3,62.824,4,1.52,0.38,43.824,19,16
445,1.29,0.71,9,2.61,0.76,9.57,5.22,3.87,11.87,6.87,-2.13,-10.13,-5.13,33,18,14,9,2.13,-8,-3,121,66,17,8,10.13,5,36,3,5.13,-5,25.538,3,0.87,0.29,14.538,11,6
446,1.51,0.49,64,32.64,16.65,4.08,24.48,12.08,5.08,10.08,-3.92,3.08,-1.92,8,48,9,14,3.92,7,2,1,6,7,-7,-3.08,-5,36,-2,1.92,5,43.224,8,4.08,0.51,42.224,1,6
447,1.32,0.68,225,72.0,23.04,52.8,72.0,19.8,15.8,19.8,-10.2,-6.2,-10.2,165,225,26,30,10.2,4,0,121,165,26,-4,6.2,-4,225,0,10.2,4,203.886,15,4.8,0.32,192.886,11,15
448,1.23,0.77,9,2.07,0.48,4.83,10.35,3.69,7.69,15.69,-2.31,-6.31,-14.31,21,45,10,18,2.31,-4,-12,49,105,22,4,6.31,-8,225,12,14.31,8,43.63,3,0.69,0.23,36.63,7,15
449,1.26,0.74,256,66.56,17.31,58.24,12.48,20.16,18.16,7.16,-11.84,-9.84,1.16,224,48,30,19,11.84,2,13,196,42,17,-2,9.84,11,9,-13,-1.16,-11,83.452,16,4.16,0.26,69.452,14,3
450,1.27,0.73,36,9.72,2.62,24.3,19.44,7.62,16.62,13.62,-4.38,-13.38,-10.38,90,72,21,18,4.38,-9,-6,225,180,27,9,13.38,3,144,6,10.38,-3,72.944,6,1.62,0.27,57.944,15,12
451,1.25,0.75,16,4.0,1.0,3.0,19.0,5.0,4.0,20.0,-3.0,-2.0,-18.0,12,76,7,23,3.0,1,-15,9,57,22,-1,2.0,-16,361,15,18.0,16,61.696,4,1.0,0.25,58.696,3,19
452,1.6,0.4,16,9.6,5.76,26.4,24.0,6.4,13.4,12.4,-1.6,-8.6,-7.6,44,40,15,14,1.6,-7,-6,121,110,21,7,8.6,1,100,6,7.6,-1,32.624,4,2.4,0.6,21.624000000000002,11,10
453,1.56,0.44,121,67.76,37.95,18.48,12.32,17.16,9.16,8.16,-4.84,3.16,4.16,33,22,14,13,4.84,8,9,9,6,5,-8,-3.16,1,4,-9,-4.16,-1,50.018,11,6.16,0.56,47.018,3,2
454,1.21,0.79,361,75.81,15.92,63.84,3.99,22.99,19.99,4.99,-15.01,-12.01,2.99,304,19,35,20,15.01,3,18,256,16,17,-3,12.01,15,1,-18,-2.99,-15,70.572,19,3.99,0.21,54.572,16,1
455,1.17,0.83,64,10.88,1.85,13.6,8.16,9.36,11.36,7.36,-6.64,-8.64,-4.64,80,48,18,14,6.64,-2,2,100,60,16,2,8.64,4,36,-2,4.64,-4,55.958,8,1.36,0.17,45.958,10,6
456,1.11,0.89,16,1.76,0.19,1.76,7.04,4.44,4.44,16.44,-3.56,-3.56,-15.56,16,64,8,20,3.56,0,-12,16,64,20,0,3.56,-12,256,12,15.56,12,61.87,4,0.44,0.11,57.87,4,16
457,1.82,0.18,9,7.38,6.05,19.68,31.98,5.46,10.46,15.46,-0.54,-5.54,-10.54,24,39,11,16,0.54,-5,-10,64,104,21,5,5.54,-5,169,10,10.54,5,20.3,3,2.46,0.82,12.3,8,13
458,1.16,0.84,81,12.96,2.07,4.32,14.4,10.44,4.44,11.44,-7.56,-1.56,-8.56,27,90,12,19,7.56,6,-1,9,30,13,-6,1.56,-7,100,1,8.56,7,85.408,9,1.44,0.16,82.408,3,10
459,1.8,0.2,400,320.0,256.0,32.0,160.0,36.0,18.0,26.0,-4.0,14.0,6.0,40,200,22,30,4.0,18,10,4,20,12,-18,-14.0,-8,100,-10,-6.0,8,210.45,20,16.0,0.8,208.45,2,10
460,1.72,0.28,9,6.48,4.67,32.4,0.0,5.16,17.16,2.16,-0.84,-12.84,2.16,45,0,18,3,0.84,-12,3,225,0,15,12,12.84,15,0,-3,-2.16,-15,19.31,3,2.16,0.72,4.309999999999999,15,0
461,1.61,0.39,256,156.16,95.26,107.36,87.84,25.76,20.76,18.76,-6.24,-1.24,0.76,176,144,27,25,6.24,5,7,121,99,20,-5,1.24,2,81,-7,-0.76,-2,150.042,16,9.76,0.61,139.042,11,9
462,1.25,0.75,16,4.0,1.0,14.0,2.0,5.0,15.0,3.0,-3.0,-13.0,-1.0,56,8,18,6,3.0,-10,2,196,28,16,10,13.0,12,4,-2,1.0,-12,22.498,4,1.0,0.25,8.498000000000001,14,2
463,1.2,0.8,4,0.8,0.16,6.8,0.0,2.4,17.4,0.4,-1.6,-16.6,0.4,34,0,19,2,1.6,-15,2,289,0,17,15,16.6,17,0,-2,-0.4,-17,17.68,2,0.4,0.2,0.6799999999999997,17,0
464,1.66,0.34,4,2.64,1.74,7.92,23.76,3.32,7.32,19.32,-0.68,-4.68,-16.68,12,36,8,20,0.68,-4,-16,36,108,24,4,4.68,-12,324,16,16.68,12,20.422,2,1.32,0.66,14.422,6,18
465,1.25,0.75,144,36.0,9.0,18.0,6.0,15.0,9.0,5.0,-9.0,-3.0,1.0,72,24,18,14,9.0,6,10,36,12,8,-6,3.0,4,4,-10,-1.0,-4,43.786,12,3.0,0.25,37.786,6,2
466,1.49,0.51,196,96.04,47.06,137.2,27.44,20.86,26.86,10.86,-7.14,-13.14,2.86,280,56,34,18,7.14,-6,10,400,80,24,6,13.14,16,16,-10,-2.86,-16,100.676,14,6.86,0.49,80.676,20,4
0,1.99,0.01,1,0.99,0.98,0.0,0.99,1.99,0.99,1.99,-0.01,0.99,-0.01,0,1,1,2,0.01,1,0,0,0,1,-1,-0.99,-1,1,0,0.01,1,1.0,1,0.99,0.99,1.0,0,1
1,1.99,0.01,625,618.75,612.56,618.75,0.0,49.75,49.75,24.75,-0.25,-0.25,24.75,625,0,50,25,0.25,0,25,625,0,25,0,0.25,25,0,-25,-24.75,-25,346.75733333333335,25,24.75,0.99,321.75733333333335,25,0
2,1.99,0.01,1,0.99,0.98,0.0,0.0,1.99,0.99,0.99,-0.01,0.99,0.99,0,0,1,1,0.01,1,1,0,0,0,-1,-0.99,0,0,-1,-0.99,0,0.992,1,0.99,0.99,0.992,0,0
3,1.99,0.01,625,618.75,612.56,0.0,0.0,49.75,24.75,24.75,-0.25,24.75,24.75,0,0,25,25,0.25,25,25,0,0,0,-25,-24.75,0,0,-25,-24.75,0,321.89866666666666,25,24.75,0.99,321.89866666666666,0,0
4,1.01,0.99,1,0.01,0.0,0.0,0.25,1.01,0.01,25.01,-0.99,0.01,-24.99,0,25,1,26,0.99,1,-24,0,0,25,-1,-0.01,-25,625,24,24.99,25,24.744,1,0.01,0.01,24.744,0,25
5,1.99,0.01,1,0.99,0.98,0.0,0.99,1.99,0.99,1.99,-0.01,0.99,-0.01,0,1,1,2,0.01,1,0,0,0,1,-1,-0.99,-1,1,0,0.01,1,1.0,1,0.99,0.99,1.0,0,1
6,1.99,0.01,625,618.75,612.56,618.75,0.0,49.75,49.75,24.75,-0.25,-0.25,24.75,625,0,50,25,0.25,0,25,625,0,25,0,0.25,25,0,-25,-24.75,-25,347.122,25,24.75,0.99,322.122,25,0
7,1.01,0.99,144,1.44,0.01,3.0,3.0,12.12,25.12,25.12,-11.88,-24.88,-24.88,300,300,37,37,11.88,-13,-13,625,625,50,13,24.88,0,625,13,24.88,0,322.718,12,0.12,0.01,297.718,25,25
8,1.99,0.01,1,0.99,0.98,0.0,0.0,1.99,0.99,0.99,-0.01,0.99,0.99,0,0,1,1,0.01,1,1,0,0,0,-1,-0.99,0,0,-1,-0.99,0,0.9913333333333333,1,0.99,0.99,0.9913333333333333,0,0
9,1.99,0.01,625,618.75,612.56,0.0,0.0,49.75,24.75,24.75,-0.25,24.75,24.75,0,0,25,25,0.25,25,25,0,0,0,-25,-24.75,0,0,-25,-24.75,0,321.768,25,24.75,0.99,321.768,0,0
10,1.99,0.01,169,167.31,165.64,321.75,321.75,25.87,37.87,37.87,-0.13,-12.13,-12.13,325,325,38,38,0.13,-12,-12,625,625,50,12,12.13,0,625,12,12.13,0,118.42333333333333,13,12.87,0.99,93.42333333333333,25,25
11,1.99,0.01,625,618.75,612.56,0.0,297.0,49.75,24.75,36.75,-0.25,24.75,12.75,0,300,25,37,0.25,25,13,0,0,12,-25,-24.75,-12,144,-13,-12.75,12,324.81333333333333,25,24.75,0.99,324.81333333333333,0,12
12,1.01,0.99,625,6.25,0.06,6.25,6.25,25.25,25.25,25.25,-24.75,-24.75,-24.75,625,625,50,50,24.75,0,0,625,625,50,0,24.75,0,625,0,24.75,0,647.2113333333333,25,0.25,0.01,622.2113333333333,25,25
13,1.99,0.01,169,167.31,165.64,0.0,321.75,25.87,12.87,37.87,-0.13,12.87,-12.13,0,325,13,38,0.13,13,-12,0,0,25,-13,-12.87,-25,625,12,12.13,25,93.29933333333334,13,12.87,0.99,93.29933333333334,0,25
14,1.99,0.01,625,618.75,612.56,0.0,618.75,49.75,24.75,49.75,-0.25,24.75,-0.25,0,625,25,50,0.25,25,0,0,0,25,-25,-24.75,-25,625,0,0.25,25,328.0106666666667,25,24.75,0.99,328.0106666666667,0,25
15,1.01,0.99,1,0.01,0.0,0.24,0.25,1.01,24.01,25.01,-0.99,-23.99,-24.99,24,25,25,26,0.99,-23,-24,576,600,49,23,23.99,-1,625,24,24.99,1,48.792,1,0.01,0.01,24.792,24,25
16,1.99,0.01,4,3.96,3.92,0.0,0.0,3.98,1.98,1.98,-0.02,1.98,1.98,0,0,2,2,0.02,2,2,0,0,0,-2,-1.98,0,0,-2,-1.98,0,2.966666666666667,2,1.98,0.99,2.966666666666667,0,0
17,1.99,0.01,1,0.99,0.98,0.0,0.0,1.99,0.99,0.99,-0.01,0.99,0.99,0,0,1,1,0.01,1,1,0,0,0,-1,-0.99,0,0,-1,-0.99,0,0.988,1,0.99,0.99,0.988,0,0
18,1.01,0.99,169,1.69,0.02,0.0,0.0,13.13,0.13,0.13,-12.87,0.13,0.13,0,0,13,13,12.87,13,13,0,0,0,-13,-0.13,0,0,-13,-0.13,0,0.878,13,0.13,0.01,0.878,0,0
