,(1+p),(1-p),(n*n),(n*p*n),(n*p*n*p),(n*p*x),(n*p*y),(n*p+n),(n*p+x),(n*p+y),(n*p-n),(n*p-x),(n*p-y),(n*x),(n*y),(n+x),(n+y),(n-n*p),(n-x),(n-y),(x*x),(x*y),(x+y),(x-n),(x-n*p),(x-y),(y*y),(y-n),(y-n*p),(y-x),expected_post,n,n*p,p,post-init,x,y
24,1.93,0.07,289,268.77,249.96,173.91,94.86,32.81,26.81,21.81,-1.19,4.81,9.81,187,102,28,23,1.19,6,11,121,66,17,-6,-4.81,5,36,-11,-9.81,-5,160.32,17,15.81,0.93,149.32,11,6
25,1.54,0.46,225,121.5,65.61,113.4,129.6,23.1,22.1,24.1,-6.9,-5.9,-7.9,210,240,29,31,6.9,1,-1,196,224,30,-1,5.9,-2,256,1,7.9,2,189.454,15,8.1,0.54,175.454,14,16
26,1.11,0.89,225,24.75,2.72,1.65,29.7,16.65,2.65,19.65,-13.35,0.65,-16.35,15,270,16,33,13.35,14,-3,1,18,19,-14,-0.65,-17,324,3,16.35,17,256.27,15,1.65,0.11,255.26999999999998,1,18
27,1.43,0.57,4,1.72,0.74,4.3,4.3,2.86,5.86,5.86,-1.14,-4.14,-4.14,10,10,7,7,1.14,-3,-3,25,25,10,3,4.14,0,25,3,4.14,0,12.048,2,0.86,0.43,7.048,5,5
28,1.82,0.18,289,236.98,194.32,125.46,55.76,30.94,22.94,17.94,-3.06,4.94,9.94,153,68,26,21,3.06,8,13,81,36,13,-8,-4.94,5,16,-13,-9.94,-5,147.006,17,13.94,0.82,138.006,9,4
29,1.71,0.29,1,0.71,0.5,4.26,12.07,1.71,6.71,17.71,-0.29,-5.29,-16.29,6,17,7,18,0.29,-5,-16,36,102,23,5,5.29,-11,289,16,16.29,11,12.024,1,0.71,0.71,6.023999999999999,6,17
30,1.69,0.31,36,24.84,17.14,62.1,49.68,10.14,19.14,16.14,-1.86,-10.86,-7.86,90,72,21,18,1.86,-9,-6,225,180,27,9,10.86,3,144,6,7.86,-3,51.324,6,4.14,0.69,36.324,15,12
31,1.64,0.36,169,108.16,69.22,158.08,8.32,21.32,27.32,9.32,-4.68,-10.68,7.32,247,13,32,14,4.68,-6,12,361,19,20,6,10.68,18,1,-12,-7.32,-18,82.182,13,8.32,0.64,63.182,19,1
32,1.33,0.67,121,39.93,13.18,54.45,43.56,14.63,18.63,15.63,-7.37,-11.37,-8.37,165,132,26,23,7.37,-4,-1,225,180,27,4,11.37,3,144,1,8.37,-3,124.998,11,3.63,0.33,109.998,15,12
33,1.76,0.24,25,19.0,14.44,34.2,60.8,8.8,12.8,19.8,-1.2,-5.2,-12.2,45,80,14,21,1.2,-4,-11,81,144,25,4,5.2,-7,256,11,12.2,7,39.786,5,3.8,0.76,30.786,9,16
34,1.33,0.67,289,95.37,31.47,56.1,5.61,22.61,15.61,6.61,-11.39,-4.39,4.61,170,17,27,18,11.39,7,16,100,10,11,-7,4.39,9,1,-16,-4.61,-9,72.834,17,5.61,0.33,62.834,10,1
35,1.75,0.25,196,147.0,110.25,0.0,189.0,24.5,10.5,28.5,-3.5,10.5,-7.5,0,252,14,32,3.5,14,-4,0,0,18,-14,-10.5,-18,324,4,7.5,18,142.834,14,10.5,0.75,142.834,0,18
36,1.21,0.79,1,0.21,0.04,3.78,1.47,1.21,18.21,7.21,-0.79,-17.79,-6.79,18,7,19,8,0.79,-17,-6,324,126,25,17,17.79,11,49,6,6.79,-11,23.764,1,0.21,0.21,5.763999999999999,18,7
37,1.1,0.9,9,0.9,0.09,2.7,2.1,3.3,9.3,7.3,-2.7,-8.7,-6.7,27,21,12,10,2.7,-6,-4,81,63,16,6,8.7,2,49,4,6.7,-2,28.484,3,0.3,0.1,19.484,9,7
38,1.05,0.95,49,2.45,0.12,2.8,4.55,7.35,8.35,13.35,-6.65,-7.65,-12.65,56,91,15,20,6.65,-1,-6,64,104,21,1,7.65,-5,169,6,12.65,5,95.866,7,0.35,0.05,87.866,8,13
39,1.14,0.86,9,1.26,0.18,2.52,6.3,3.42,6.42,15.42,-2.58,-5.58,-14.58,18,45,9,18,2.58,-3,-12,36,90,21,3,5.58,-9,225,12,14.58,9,45.844,3,0.42,0.14,39.844,6,15
40,1.76,0.24,196,148.96,113.21,0.0,95.76,24.64,10.64,19.64,-3.36,10.64,1.64,0,126,14,23,3.36,14,5,0,0,9,-14,-10.64,-9,81,-5,-1.64,9,110.606,14,10.64,0.76,110.606,0,9
41,1.08,0.92,100,8.0,0.64,12.8,5.6,10.8,16.8,7.8,-9.2,-15.2,-6.2,160,70,26,17,9.2,-6,3,256,112,23,6,15.2,9,49,-3,6.2,-9,84.584,10,0.8,0.08,68.584,16,7
42,1.21,0.79,289,60.69,12.74,21.42,17.85,20.57,9.57,8.57,-13.43,-2.43,-1.43,102,85,23,22,13.43,11,12,36,30,11,-11,2.43,1,25,-12,1.43,-1,105.28,17,3.57,0.21,99.28,6,5
43,1.45,0.55,16,7.2,3.24,7.2,9.0,5.8,5.8,6.8,-2.2,-2.2,-3.2,16,20,8,9,2.2,0,-1,16,20,9,0,2.2,-1,25,1,3.2,1,19.276,4,1.8,0.45,15.276,4,5
44,1.08,0.92,1,0.08,0.01,1.04,1.36,1.08,13.08,17.08,-0.92,-12.92,-16.92,13,17,14,18,0.92,-12,-16,169,221,30,12,12.92,-4,289,16,16.92,4,28.56,1,0.08,0.08,15.559999999999999,13,17
45,1.08,0.92,400,32.0,2.56,1.6,14.4,21.6,2.6,10.6,-18.4,0.6,-7.4,20,180,21,29,18.4,19,11,1,9,10,-19,-0.6,-8,81,-11,7.4,8,183.488,20,1.6,0.08,182.488,1,9
46,1.24,0.76,256,61.44,14.75,72.96,65.28,19.84,22.84,20.84,-12.16,-15.16,-13.16,304,272,35,33,12.16,-3,-1,361,323,36,3,15.16,2,289,1,13.16,-2,258.016,16,3.84,0.24,239.01600000000002,19,17
47,1.12,0.88,400,48.0,5.76,43.2,21.6,22.4,20.4,11.4,-17.6,-15.6,-6.6,360,180,38,29,17.6,2,11,324,162,27,-2,15.6,9,81,-11,6.6,-9,201.048,20,2.4,0.12,183.048,18,9
48,1.22,0.78,81,17.82,3.92,29.7,29.7,10.98,16.98,16.98,-7.02,-13.02,-13.02,135,135,24,24,7.02,-6,-6,225,225,30,6,13.02,0,225,6,13.02,0,129.704,9,1.98,0.22,114.70400000000001,15,15
49,1.76,0.24,361,274.36,208.51,187.72,187.72,33.44,27.44,27.44,-4.56,1.44,1.44,247,247,32,32,4.56,6,6,169,169,26,-6,-1.44,0,169,-6,-1.44,0,216.222,19,14.44,0.76,203.222,13,13
50,1.61,0.39,121,73.81,45.02,107.36,134.2,17.71,22.71,26.71,-4.29,-9.29,-13.29,176,220,27,31,4.29,-5,-9,256,320,36,5,9.29,-4,400,9,13.29,4,142.508,11,6.71,0.61,126.50800000000001,16,20
51,1.9,0.1,289,260.1,234.09,15.3,229.5,32.3,16.3,30.3,-1.7,14.3,0.3,17,255,18,32,1.7,16,2,1,15,16,-16,-14.3,-14,225,-2,-0.3,14,164.04,17,15.3,0.9,163.04,1,15
52,1.57,0.43,64,36.48,20.79,77.52,27.36,12.56,21.56,10.56,-3.44,-12.44,-1.44,136,48,25,14,3.44,-9,2,289,102,23,9,12.44,11,36,-2,1.44,-11,58.434,8,4.56,0.57,41.434,17,6
