,((p1+p2)-p1*p2),(1+p1),(1+p2),(1-p1),(1-p2),(flip1*flip1),(flip1*flip2),(flip1+flip2),(flip1-flip2),(flip2*flip2),(flip2-flip1),(p1*p2),(p1+p2),(x*x),expected_post,flip1,flip2,p1,p2,post-init,x
43,0.61,1.2,1.51,0.8,0.49,0,0,0,0,0,0,0.1,0.71,100,10.248,0,0,0.2,0.51,0.24799999999999933,10
44,0.66,1.27,1.54,0.73,0.46,0,0,1,-1,1,1,0.15,0.81,144,12.134,0,1,0.27,0.54,0.13400000000000034,12
45,0.84,1.79,1.25,0.21,0.75,0,0,1,-1,1,1,0.2,1.04,225,15.812,0,1,0.79,0.25,0.8119999999999994,15
46,0.98,1.89,1.8,0.11,0.2,0,0,0,0,0,0,0.71,1.69,144,42.308,0,0,0.89,0.8,30.308,12
47,0.84,1.58,1.62,0.42,0.38,0,0,1,-1,1,1,0.36,1.2,64,9.56,0,1,0.58,0.62,1.5600000000000005,8
48,0.9,1.79,1.52,0.21,0.48,0,0,1,-1,1,1,0.41,1.31,289,20.45,0,1,0.79,0.52,3.4499999999999993,17
49,0.42,1.07,1.38,0.93,0.62,0,0,1,-1,1,1,0.03,0.45,1,1.002,0,1,0.07,0.38,0.0020000000000000018,1
50,0.89,1.68,1.65,0.32,0.35,0,0,0,0,0,0,0.44,1.33,81,13.466,0,0,0.68,0.65,4.465999999999999,9
51,0.73,1.05,1.72,0.95,0.28,0,0,1,-1,1,1,0.04,0.77,16,4.006,0,1,0.05,0.72,0.006000000000000227,4
52,0.74,1.66,1.24,0.34,0.76,0,0,0,0,0,0,0.16,0.9,361,19.646,0,0,0.66,0.24,0.6460000000000008,19
53,0.7,1.31,1.57,0.69,0.43,0,0,1,-1,1,1,0.18,0.88,196,14.172,0,1,0.31,0.57,0.1720000000000006,14
54,0.51,1.41,1.17,0.59,0.83,0,0,1,-1,1,1,0.07,0.58,361,19.042,0,1,0.41,0.17,0.04200000000000159,19
55,0.73,1.65,1.23,0.35,0.77,0,0,0,0,0,0,0.15,0.88,1,1.598,0,0,0.65,0.23,0.5980000000000001,1
56,0.93,1.18,1.92,0.82,0.08,0,0,0,0,0,0,0.17,1.1,196,15.878,0,0,0.18,0.92,1.8780000000000001,14
57,0.9,1.67,1.7,0.33,0.3,0,0,0,0,0,0,0.47,1.37,49,11.724,0,0,0.67,0.7,4.724,7
58,0.34,1.17,1.21,0.83,0.79,0,0,0,0,0,0,0.04,0.38,225,15.048,0,0,0.17,0.21,0.04800000000000004,15
59,0.94,1.87,1.52,0.13,0.48,0,0,0,0,0,0,0.45,1.39,0,7.562,0,0,0.87,0.52,7.562,0
60,0.87,1.86,1.09,0.14,0.91,0,0,0,0,0,0,0.08,0.95,289,17.564,0,0,0.86,0.09,0.5640000000000001,17
61,0.72,1.63,1.23,0.37,0.77,0,0,0,0,0,0,0.14,0.86,16,4.484,0,0,0.63,0.23,0.484,4
62,0.25,1.16,1.11,0.84,0.89,0,0,1,-1,1,1,0.02,0.27,100,10.004,0,1,0.16,0.11,0.0039999999999995595,10
63,0.64,1.43,1.36,0.57,0.64,0,0,0,0,0,0,0.15,0.79,225,15.302,0,0,0.43,0.36,0.3019999999999996,15
64,0.98,1.92,1.76,0.08,0.24,0,0,1,-1,1,1,0.7,1.68,144,45.94,0,1,0.92,0.76,33.94,12
65,0.3,1.1,1.22,0.9,0.78,0,0,0,0,0,0,0.02,0.32,1,1.024,0,0,0.1,0.22,0.02400000000000002,1
66,0.92,1.72,1.73,0.28,0.27,0,0,1,-1,1,1,0.53,1.45,196,19.134,0,1,0.72,0.73,5.134,14
67,0.54,1.23,1.4,0.77,0.6,0,0,1,-1,1,1,0.09,0.63,25,5.04,0,1,0.23,0.4,0.040000000000000036,5
68,0.79,1.69,1.31,0.31,0.69,0,0,0,0,0,0,0.21,1.0,196,15.018,0,0,0.69,0.31,1.0180000000000007,14
69,0.92,1.84,1.49,0.16,0.51,0,0,0,0,0,0,0.41,1.33,289,21.676,0,0,0.84,0.49,4.675999999999998,17
70,0.97,1.75,1.87,0.25,0.13,0,0,1,-1,1,1,0.65,1.62,64,23.94,0,1,0.75,0.87,15.940000000000001,8
71,0.72,1.14,1.67,0.86,0.33,0,0,0,0,0,0,0.09,0.81,1,1.25,0,0,0.14,0.67,0.25,1
72,0.71,1.59,1.29,0.41,0.71,0,0,0,0,0,0,0.17,0.88,144,12.642,0,0,0.59,0.29,0.6419999999999995,12
73,0.56,1.38,1.29,0.62,0.71,0,0,0,0,0,0,0.11,0.67,100,10.256,0,0,0.38,0.29,0.2560000000000002,10
74,0.69,1.41,1.48,0.59,0.52,0,0,1,-1,1,1,0.2,0.89,1,1.196,0,1,0.41,0.48,0.19599999999999995,1
75,0.46,1.25,1.28,0.75,0.72,0,0,1,-1,1,1,0.07,0.53,361,19.046,0,1,0.25,0.28,0.045999999999999375,19
76,0.91,1.9,1.05,0.1,0.95,0,0,1,-1,1,1,0.05,0.95,64,8.394,0,1,0.9,0.05,0.39400000000000013,8
77,0.85,1.67,1.54,0.33,0.46,0,0,0,0,0,0,0.36,1.21,400,22.538,0,0,0.67,0.54,2.5380000000000003,20
78,0.92,1.37,1.88,0.63,0.12,0,0,1,-1,1,1,0.33,1.25,361,20.566,0,1,0.37,0.88,1.565999999999999,19
79,0.75,1.71,1.15,0.29,0.85,0,0,1,-1,1,1,0.11,0.86,36,6.31,0,1,0.71,0.15,0.3099999999999996,6
80,0.84,1.61,1.58,0.39,0.42,0,0,0,0,0,0,0.35,1.19,196,16.268,0,0,0.61,0.58,2.2680000000000007,14
81,0.84,1.32,1.77,0.68,0.23,0,0,1,-1,1,1,0.25,1.09,25,5.58,0,1,0.32,0.77,0.5800000000000001,5
82,0.83,1.6,1.58,0.4,0.42,0,0,1,-1,1,1,0.35,1.18,9,4.342,0,1,0.6,0.58,1.3419999999999996,3
83,0.67,1.48,1.37,0.52,0.63,0,0,1,-1,1,1,0.18,0.85,100,10.244,0,1,0.48,0.37,0.24399999999999977,10
84,0.19,1.14,1.06,0.86,0.94,0,0,1,-1,1,1,0.01,0.2,36,6.002,0,1,0.14,0.06,0.0019999999999997797,6
85,0.67,1.64,1.07,0.36,0.93,0,0,1,-1,1,1,0.04,0.71,361,19.076,0,1,0.64,0.07,0.07600000000000051,19
86,0.85,1.31,1.78,0.69,0.22,0,0,0,0,0,0,0.24,1.09,4,3.376,0,0,0.31,0.78,1.376,2
87,0.95,1.56,1.89,0.44,0.11,0,0,1,-1,1,1,0.5,1.45,196,19.724,0,1,0.56,0.89,5.724,14
88,0.53,1.25,1.37,0.75,0.63,0,0,0,0,0,0,0.09,0.62,100,10.196,0,0,0.25,0.37,0.19599999999999973,10
89,0.75,1.62,1.35,0.38,0.65,0,0,1,-1,1,1,0.22,0.97,400,20.568,0,1,0.62,0.35,0.5680000000000014,20
90,0.88,1.76,1.48,0.24,0.52,0,0,1,-1,1,1,0.36,1.24,400,22.182,0,1,0.76,0.48,2.1819999999999986,20
91,0.93,1.91,1.23,0.09,0.77,0,0,0,0,0,0,0.21,1.14,196,16.972,0,0,0.91,0.23,2.9720000000000013,14
92,0.74,1.56,1.4,0.44,0.6,0,0,1,-1,1,1,0.22,0.96,1,1.508,0,1,0.56,0.4,0.508,1
93,0.87,1.71,1.54,0.29,0.46,0,0,0,0,0,0,0.38,1.25,0,2.738,0,0,0.71,0.54,2.738,0
94,0.34,1.21,1.16,0.79,0.84,0,0,0,0,0,0,0.03,0.37,169,13.052,0,0,0.21,0.16,0.0519999999999996,13
95,0.99,1.9,1.94,0.1,0.06,0,0,0,0,0,0,0.85,1.84,196,154.644,0,0,0.9,0.94,140.644,14
96,0.56,1.48,1.16,0.52,0.84,0,0,1,-1,1,1,0.08,0.64,121,11.074,0,1,0.48,0.16,0.07399999999999984,11
97,0.59,1.55,1.09,0.45,0.91,0,0,0,0,0,0,0.05,0.64,400,20.134,0,0,0.55,0.09,0.13400000000000034,20
98,0.82,1.32,1.73,0.68,0.27,0,0,0,0,0,0,0.23,1.05,9,4.248,0,0,0.32,0.73,1.2480000000000002,3
99,0.82,1.8,1.1,0.2,0.9,0,0,1,-1,1,1,0.08,0.9,144,12.37,0,1,0.8,0.1,0.3699999999999992,12
100,0.89,1.18,1.87,0.82,0.13,0,0,1,-1,1,1,0.16,1.05,16,4.118,0,1,0.18,0.87,0.11800000000000033,4
101,0.82,1.78,1.17,0.22,0.83,0,0,0,0,0,0,0.13,0.95,9,3.76,0,0,0.78,0.17,0.7599999999999998,3
102,0.92,1.83,1.54,0.17,0.46,0,0,0,0,0,0,0.45,1.37,81,14.3,0,0,0.83,0.54,5.300000000000001,9
103,0.89,1.37,1.83,0.63,0.17,0,0,0,0,0,0,0.31,1.2,196,16.904,0,0,0.37,0.83,2.904,14
104,0.9,1.71,1.66,0.29,0.34,0,0,1,-1,1,1,0.47,1.37,36,8.974,0,1,0.71,0.66,2.974,6
105,0.69,1.52,1.36,0.48,0.64,0,0,0,0,0,0,0.19,0.88,4,2.614,0,0,0.52,0.36,0.6139999999999999,2
106,0.97,1.82,1.83,0.18,0.17,0,0,0,0,0,0,0.68,1.65,256,38.55,0,0,0.82,0.83,22.549999999999997,16
107,0.89,1.66,1.68,0.34,0.32,0,0,0,0,0,0,0.45,1.34,121,14.692,0,0,0.66,0.68,3.692,11
108,0.6,1.45,1.28,0.55,0.72,0,0,1,-1,1,1,0.13,0.73,196,14.134,0,1,0.45,0.28,0.13400000000000034,14
109,0.82,1.16,1.79,0.84,0.21,0,0,1,-1,1,1,0.13,0.95,144,12.154,0,1,0.16,0.79,0.15399999999999991,12
110,0.51,1.15,1.42,0.85,0.58,0,0,1,-1,1,1,0.06,0.57,9,3.02,0,1,0.15,0.42,0.020000000000000018,3
111,0.71,1.65,1.18,0.35,0.82,0,0,0,0,0,0,0.12,0.83,100,10.382,0,0,0.65,0.18,0.3819999999999997,10
112,0.55,1.53,1.05,0.47,0.95,0,0,0,0,0,0,0.03,0.58,64,8.048,0,0,0.53,0.05,0.04800000000000004,8
113,0.63,1.58,1.13,0.42,0.87,0,0,0,0,0,0,0.08,0.71,256,16.216,0,0,0.58,0.13,0.21600000000000108,16
114,0.77,1.22,1.7,0.78,0.3,0,0,0,0,0,0,0.15,0.92,225,15.438,0,0,0.22,0.7,0.4380000000000006,15
115,0.93,1.78,1.67,0.22,0.33,0,0,0,0,0,0,0.52,1.45,9,10.114,0,0,0.78,0.67,7.114000000000001,3
116,0.91,1.56,1.79,0.44,0.21,0,0,0,0,0,0,0.44,1.35,361,23.978,0,0,0.56,0.79,4.9780000000000015,19
117,0.67,1.63,1.11,0.37,0.89,0,0,0,0,0,0,0.07,0.74,324,18.204,0,0,0.63,0.11,0.20400000000000063,18
118,0.72,1.57,1.35,0.43,0.65,0,0,0,0,0,0,0.2,0.92,361,19.742,0,0,0.57,0.35,0.7420000000000009,19
119,0.66,1.05,1.64,0.95,0.36,0,0,1,-1,1,1,0.03,0.69,25,5.0,0,1,0.05,0.64,0.0,5
120,0.86,1.79,1.35,0.21,0.65,0,0,1,-1,1,1,0.28,1.14,361,20.616,0,1,0.79,0.35,1.6159999999999997,19
121,0.64,1.59,1.11,0.41,0.89,0,0,0,0,0,0,0.06,0.7,9,3.172,0,0,0.59,0.11,0.17200000000000015,3
122,0.88,1.84,1.22,0.16,0.78,0,0,0,0,0,0,0.18,1.06,121,12.326,0,0,0.84,0.22,1.3260000000000005,11
123,0.95,1.62,1.86,0.38,0.14,0,0,1,-1,1,1,0.53,1.48,81,16.844,0,1,0.62,0.86,7.844000000000001,9
124,0.98,1.92,1.77,0.08,0.23,0,0,1,-1,1,1,0.71,1.69,9,38.102,0,1,0.92,0.77,35.102,3
125,0.16,1.06,1.11,0.94,0.89,0,0,0,0,0,0,0.01,0.17,9,3.014,0,0,0.06,0.11,0.01399999999999979,3
126,0.83,1.7,1.44,0.3,0.56,0,0,0,0,0,0,0.31,1.14,49,8.594,0,0,0.7,0.44,1.5939999999999994,7
127,0.61,1.06,1.58,0.94,0.42,0,0,0,0,0,0,0.03,0.64,49,7.068,0,0,0.06,0.58,0.06799999999999962,7
128,0.97,1.91,1.65,0.09,0.35,0,0,1,-1,1,1,0.59,1.56,1,19.136,0,1,0.91,0.65,18.136,1
129,0.85,1.64,1.58,0.36,0.42,0,0,1,-1,1,1,0.37,1.22,361,20.558,0,1,0.64,0.58,1.5579999999999998,19
130,0.86,1.55,1.7,0.45,0.3,0,0,1,-1,1,1,0.39,1.25,9,4.316,0,1,0.55,0.7,1.3159999999999998,3
131,0.65,1.17,1.58,0.83,0.42,0,0,0,0,0,0,0.1,0.75,400,20.218,0,0,0.17,0.58,0.21799999999999997,20
132,0.58,1.45,1.23,0.55,0.77,0,0,1,-1,1,1,0.1,0.68,25,5.102,0,1,0.45,0.23,0.10200000000000031,5
133,0.81,1.4,1.68,0.6,0.32,0,0,1,-1,1,1,0.27,1.08,361,19.494,0,1,0.4,0.68,0.4939999999999998,19
134,0.94,1.42,1.9,0.58,0.1,0,0,1,-1,1,1,0.38,1.32,400,22.834,0,1,0.42,0.9,2.8339999999999996,20
135,0.86,1.75,1.45,0.25,0.55,0,0,0,0,0,0,0.34,1.2,225,17.24,0,0,0.75,0.45,2.2399999999999984,15
136,0.39,1.25,1.18,0.75,0.82,0,0,1,-1,1,1,0.04,0.43,81,9.032,0,1,0.25,0.18,0.03200000000000003,9
137,0.57,1.4,1.28,0.6,0.72,0,0,0,0,0,0,0.11,0.68,196,14.272,0,0,0.4,0.28,0.27200000000000024,14
138,0.99,1.85,1.92,0.15,0.08,0,0,0,0,0,0,0.78,1.77,0,59.824,0,0,0.85,0.92,59.824,0
139,0.9,1.16,1.88,0.84,0.12,0,0,0,0,0,0,0.14,1.04,169,14.262,0,0,0.16,0.88,1.2620000000000005,13
140,0.29,1.19,1.12,0.81,0.88,0,0,1,-1,1,1,0.02,0.31,256,16.008,0,1,0.19,0.12,0.007999999999999119,16
141,0.92,1.27,1.89,0.73,0.11,0,0,0,0,0,0,0.24,1.16,1,4.216,0,0,0.27,0.89,3.216,1
142,0.92,1.71,1.73,0.29,0.27,0,0,1,-1,1,1,0.52,1.44,25,9.698,0,1,0.71,0.73,4.698,5
143,0.76,1.2,1.7,0.8,0.3,0,0,1,-1,1,1,0.14,0.9,0,0.084,0,1,0.2,0.7,0.084,0
144,0.43,1.31,1.18,0.69,0.82,0,0,0,0,0,0,0.06,0.49,9,3.066,0,0,0.31,0.18,0.06599999999999984,3
145,0.63,1.2,1.54,0.8,0.46,0,0,0,0,0,0,0.11,0.74,4,2.27,0,0,0.2,0.54,0.27,2
146,0.7,1.47,1.43,0.53,0.57,0,0,1,-1,1,1,0.2,0.9,289,17.346,0,1,0.47,0.43,0.3460000000000001,17
147,0.83,1.17,1.8,0.83,0.2,0,0,0,0,0,0,0.14,0.97,400,20.802,0,0,0.17,0.8,0.8019999999999996,20
148,0.51,1.2,1.39,0.8,0.61,0,0,0,0,0,0,0.08,0.59,25,5.158,0,0,0.2,0.39,0.15800000000000036,5
149,0.89,1.24,1.85,0.76,0.15,0,0,1,-1,1,1,0.2,1.09,1,1.496,0,1,0.24,0.85,0.496,1
150,0.82,1.18,1.78,0.82,0.22,0,0,1,-1,1,1,0.14,0.96,0,0.23,0,1,0.18,0.78,0.23,0
151,0.86,1.8,1.31,0.2,0.69,0,0,1,-1,1,1,0.25,1.11,256,17.482,0,1,0.8,0.31,1.4819999999999993,16
152,0.93,1.7,1.75,0.3,0.25,0,0,1,-1,1,1,0.52,1.45,196,19.054,0,1,0.7,0.75,5.0539999999999985,14
153,0.52,1.07,1.48,0.93,0.52,0,0,0,0,0,0,0.03,0.55,144,12.046,0,0,0.07,0.48,0.045999999999999375,12
154,0.96,1.3,1.94,0.7,0.06,0,0,0,0,0,0,0.28,1.24,9,9.958,0,0,0.3,0.94,6.958,3
155,0.9,1.86,1.32,0.14,0.68,0,0,0,0,0,0,0.28,1.18,196,17.134,0,0,0.86,0.32,3.1340000000000003,14
156,0.7,1.48,1.42,0.52,0.58,0,0,0,0,0,0,0.2,0.9,121,11.6,0,0,0.48,0.42,0.5999999999999996,11
157,0.98,1.54,1.95,0.46,0.05,0,0,0,0,0,0,0.51,1.49,36,28.166,0,0,0.54,0.95,22.166,6
158,0.5,1.16,1.4,0.84,0.6,0,0,1,-1,1,1,0.06,0.56,121,11.018,0,1,0.16,0.4,0.018000000000000682,11
159,0.49,1.41,1.14,0.59,0.86,0,0,0,0,0,0,0.06,0.55,361,19.132,0,0,0.41,0.14,0.13200000000000145,19
160,0.75,1.72,1.12,0.28,0.88,0,0,1,-1,1,1,0.09,0.84,289,17.204,0,1,0.72,0.12,0.20400000000000063,17
161,0.57,1.48,1.17,0.52,0.83,0,0,1,-1,1,1,0.08,0.65,4,2.1,0,1,0.48,0.17,0.10000000000000009,2
162,0.97,1.95,1.4,0.05,0.6,0,0,0,0,0,0,0.38,1.35,81,22.544,0,0,0.95,0.4,13.544,9
163,0.95,1.4,1.91,0.6,0.09,0,0,0,0,0,0,0.36,1.31,1,7.844,0,0,0.4,0.91,6.844,1
164,0.45,1.29,1.23,0.71,0.77,0,0,0,0,0,0,0.07,0.52,0,0.14,0,0,0.29,0.23,0.14,0
165,0.81,1.41,1.67,0.59,0.33,0,0,0,0,0,0,0.27,1.08,196,15.508,0,0,0.41,0.67,1.5079999999999991,14
166,0.43,1.21,1.28,0.79,0.72,0,0,1,-1,1,1,0.06,0.49,81,9.006,0,1,0.21,0.28,0.006000000000000227,9
167,0.65,1.59,1.14,0.41,0.86,0,0,0,0,0,0,0.08,0.73,16,4.22,0,0,0.59,0.14,0.21999999999999975,4
168,0.91,1.42,1.85,0.58,0.15,0,0,0,0,0,0,0.36,1.27,0,4.658,0,0,0.42,0.85,4.658,0
169,0.95,1.46,1.9,0.54,0.1,0,0,0,0,0,0,0.41,1.36,0,8.466,0,0,0.46,0.9,8.466,0
170,0.87,1.66,1.62,0.34,0.38,0,0,0,0,0,0,0.41,1.28,361,22.112,0,0,0.66,0.62,3.1119999999999983,19
171,0.91,1.9,1.06,0.1,0.94,0,0,0,0,0,0,0.05,0.96,400,20.62,0,0,0.9,0.06,0.620000000000001,20
172,0.97,1.75,1.9,0.25,0.1,0,0,0,0,0,0,0.68,1.65,0,27.074,0,0,0.75,0.9,27.074,0
173,0.62,1.32,1.44,0.68,0.56,0,0,0,0,0,0,0.14,0.76,4,2.378,0,0,0.32,0.44,0.3780000000000001,2
174,0.4,1.24,1.21,0.76,0.79,0,0,1,-1,1,1,0.05,0.45,4,2.014,0,1,0.24,0.21,0.01399999999999979,2
175,0.95,1.24,1.93,0.76,0.07,0,0,0,0,0,0,0.22,1.17,144,16.338,0,0,0.24,0.93,4.338000000000001,12
176,0.66,1.14,1.61,0.86,0.39,0,0,1,-1,1,1,0.09,0.75,289,17.036,0,1,0.14,0.61,0.036000000000001364,17
177,0.39,1.23,1.21,0.77,0.79,0,0,1,-1,1,1,0.05,0.44,36,6.014,0,1,0.23,0.21,0.014000000000000234,6
178,0.9,1.67,1.7,0.33,0.3,0,0,0,0,0,0,0.47,1.37,400,24.76,0,0,0.67,0.7,4.760000000000002,20
179,0.62,1.2,1.53,0.8,0.47,0,0,0,0,0,0,0.11,0.73,400,20.372,0,0,0.2,0.53,0.3719999999999999,20
180,0.63,1.54,1.2,0.46,0.8,0,0,1,-1,1,1,0.11,0.74,9,3.122,0,1,0.54,0.2,0.12199999999999989,3
181,0.42,1.22,1.26,0.78,0.74,0,0,0,0,0,0,0.06,0.48,25,5.072,0,0,0.22,0.26,0.07200000000000006,5
182,0.89,1.75,1.55,0.25,0.45,0,0,1,-1,1,1,0.41,1.3,9,5.564,0,1,0.75,0.55,2.564,3
183,0.89,1.36,1.83,0.64,0.17,0,0,1,-1,1,1,0.3,1.19,225,16.216,0,1,0.36,0.83,1.216000000000001,15
184,0.65,1.49,1.32,0.51,0.68,0,0,1,-1,1,1,0.16,0.81,324,18.186,0,1,0.49,0.32,0.18599999999999994,18
185,0.19,1.05,1.15,0.95,0.85,0,0,0,0,0,0,0.01,0.2,100,10.008,0,0,0.05,0.15,0.007999999999999119,10
186,0.3,1.07,1.25,0.93,0.75,0,0,0,0,0,0,0.02,0.32,196,14.016,0,0,0.07,0.25,0.016000000000000014,14
187,0.19,1.07,1.13,0.93,0.87,0,0,0,0,0,0,0.01,0.2,324,18.006,0,0,0.07,0.13,0.006000000000000227,18
188,0.88,1.4,1.8,0.6,0.2,0,0,0,0,0,0,0.32,1.2,16,6.63,0,0,0.4,0.8,2.63,4
189,0.97,1.92,1.64,0.08,0.36,0,0,1,-1,1,1,0.59,1.56,256,35.716,0,1,0.92,0.64,19.716,16
190,0.87,1.42,1.78,0.58,0.22,0,0,0,0,0,0,0.33,1.2,16,6.792,0,0,0.42,0.78,2.792,4
191,0.97,1.85,1.82,0.15,0.18,0,0,0,0,0,0,0.7,1.67,36,31.334,0,0,0.85,0.82,25.334,6
192,0.67,1.23,1.57,0.77,0.43,0,0,0,0,0,0,0.13,0.8,1,1.42,0,0,0.23,0.57,0.41999999999999993,1
